source_term,target_term,confidence,source,note
色准调试,分光色度计,1.0,suggestion:auto,tags=3; modules=3
伽马校正,自动光学检测设备,1.0,suggestion:auto,tags=3; modules=2
模内气体辅助,模流翘曲预测,1.0,suggestion:auto,tags=2; modules=2
音频调试,人工耳,1.0,suggestion:auto,tags=2; modules=2
色准调试,自动光学检测设备,1.0,suggestion:auto,tags=2; modules=2
模内气体辅助,模流冷却分析,1.0,suggestion:auto,tags=2; modules=2
失效分析,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
电子束焊接,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
根因分析,金相切片,1.0,suggestion:auto,tags=2; modules=2
音频调试,声学分析仪,1.0,suggestion:auto,tags=2; modules=2
天线阻抗匹配,光谱分析仪,1.0,suggestion:auto,tags=2; modules=2
失效分析,离子色谱仪,1.0,suggestion:auto,tags=2; modules=2
激光焊接,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
超声波焊接,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
原子扩散焊接,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
冷喷涂,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
失效分析,超声波扫描显微镜,1.0,suggestion:auto,tags=2; modules=2
失效分析,恒温恒湿试验箱,1.0,suggestion:auto,tags=2; modules=2
根因分析,热重分析仪,1.0,suggestion:auto,tags=2; modules=2
根因分析,激光共聚焦显微镜,1.0,suggestion:auto,tags=2; modules=2
根因分析,热阻测试仪,1.0,suggestion:auto,tags=2; modules=2
根因分析,动态力学分析仪,1.0,suggestion:auto,tags=2; modules=2
根因分析,高低温循环试验箱,1.0,suggestion:auto,tags=2; modules=2
天线阻抗匹配,综测仪,1.0,suggestion:auto,tags=2; modules=2
失效分析,热阻测试仪,1.0,suggestion:auto,tags=2; modules=2
色准调试,显示测试信号发生器,1.0,suggestion:auto,tags=2; modules=2
失效分析,激光共聚焦显微镜,1.0,suggestion:auto,tags=2; modules=2
伽马校正,显示测试信号发生器,1.0,suggestion:auto,tags=2; modules=2
超声波焊接,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
伽马校正,分光色度计,1.0,suggestion:auto,tags=2; modules=2
点胶方案,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
原子扩散焊接,振动控制器,1.0,suggestion:auto,tags=2; modules=2
摩擦搅拌焊,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
电子束焊接,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
失效分析,高倍率扫描电镜,1.0,suggestion:auto,tags=2; modules=2
失效分析,红外热成像仪,1.0,suggestion:auto,tags=2; modules=2
失效分析,高低温循环试验箱,1.0,suggestion:auto,tags=2; modules=2
失效分析,扫描电子显微镜,1.0,suggestion:auto,tags=2; modules=2
失效分析,原子力显微镜,1.0,suggestion:auto,tags=2; modules=2
根因分析,高倍率扫描电镜,1.0,suggestion:auto,tags=2; modules=2
根因分析,超声波扫描显微镜,1.0,suggestion:auto,tags=2; modules=2
根因分析,声学扫描显微镜,1.0,suggestion:auto,tags=2; modules=2
根因分析,振动控制器,1.0,suggestion:auto,tags=2; modules=2
根因分析,二次离子质谱仪,1.0,suggestion:auto,tags=2; modules=2
根因分析,俄歇电子能谱仪,1.0,suggestion:auto,tags=2; modules=2
传感器校准,标准光源箱,1.0,suggestion:auto,tags=2; modules=2
根因分析,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
射频校准,频谱分析仪,1.0,suggestion:auto,tags=2; modules=2
