term,canonical_name,aliases,category,tags,description
BTB连接器,BTB连接器,板对板连接器;Board-to-Board Connector,硬件相关,部件;电气连接,连接主板与副板、显示模组等的重要元件，易出现接触不良、虚焊等故障。
Dome片,Dome片,按键弹片;Metal Dome,硬件相关,部件;人机交互,提供按键手感的关键金属件，失效会导致按键无反应或手感差。
FPC,FPC,柔性电路板;Flexible Printed Circuit,硬件相关,部件;电气连接,用于连接空间受限的部件，如摄像头、显示屏，易发生弯折断裂。
Lens,Lens,镜片;Camera Lens,摄像头模组,部件;影像相关,摄像头的光学镜片，有脏污、划伤、镀膜脱落等不良现象。
LRA,LRA,线性谐振执行器;Linear Resonant Actuator,硬件相关,部件;人机交互,提供振动反馈的马达，失效或性能不佳会导致振动弱、异响。
OIS,OIS,光学防抖;Optical Image Stabilization,摄像头模组,功能;影像相关,通过镜组或传感器移动补偿手抖，模块不良会导致拍照模糊或异响。
SPK,SPK,扬声器;Speaker,硬件相关,部件;声学,负责声音外放，常见不良有杂音、破音、无声。
TP,TP,触摸屏;Touch Panel,硬件相关,部件;人机交互,负责触控功能，常见故障有失灵、乱点、划线不良。
WLAN,WLAN,无线局域网;Wireless LAN,硬件相关,功能;性能指标,手机Wi-Fi功能，常见问题有连接失败、速率慢、断流。
背光,背光,背光模组;Backlight,硬件相关,部件;显示相关,为LCD屏幕提供光源的组件，常见不良有亮度不均、漏光、mura（斑驳）。
边框,边框,中框;Middle Frame,结构相关,部件;外观,手机的骨架结构，用于固定内部元件，变形或腐蚀会影响整机强度和气密性。
充电口,充电口,USB-C接口;Type-C Port,硬件相关,部件;电气连接,负责充电和数据传输，常见不良有端口松动、腐蚀、连接不稳定。
触点,触点,金手指;Contact Pin,硬件相关,部件;电气连接,电池、屏幕等模块上与主板连接的导电触点，氧化或污染会导致接触不良。
电芯,电芯,电池芯;Battery Cell,硬件相关,部件;安全相关,电池的核心储能部件，其质量直接决定电池的容量、寿命和安全性。
包材,包材,包装材料;Packaging Material,结构相关,物料;外观,指手机零售包装盒、内托等，破损、污渍会影响开箱体验。
摄像头,摄像头,相机;Camera;镜头;拍照模块,硬件相关,部件;影像相关,用于拍照和录像的硬件组件，包含镜头、传感器、马达等
屏幕,屏幕,显示屏;Display;LCD;OLED;面板,硬件相关,部件;显示相关,显示图像和界面的硬件组件，负责视觉输出
电池,电池,电源;Power;续航;Battery;锂电池,硬件相关,部件;安全相关,提供电力的硬件组件，决定续航能力
处理器,处理器,CPU;芯片;Processor;SoC;主控,硬件相关,部件;性能指标,负责数据处理和计算的核心组件
内存,内存,RAM;运行内存;Memory,硬件相关,部件;性能指标,临时存储数据和程序的组件
存储,存储,ROM;闪存;Storage;UFS,硬件相关,部件;性能指标,永久存储数据和系统的组件
主板,主板,PCB;电路板;Motherboard,硬件相关,部件;电气连接,承载各种芯片和连接器的核心电路板
天线,天线,Antenna;信号;射频,硬件相关,部件;功能,负责无线信号收发的组件
马达,马达,振动器;Motor;Vibrator,硬件相关,部件;人机交互,提供触觉反馈的振动组件
传感器,传感器,Sensor;感应器,硬件相关,部件;功能,检测环境参数的各类传感组件
