term,aliases,category,tags,definition
A类故障,严重功能故障;Class A Failure,Symptom,质量体系;失效分析;风险管理;可靠性,影响产品基本功能的严重故障，如无法开机、通话中断、充电失效等，属于不可接受的质量问题
功耗对比,电流消耗对比;Power Consumption Comparison,Metric,性能指标;电气性能;用户体验;节能设计,测试前后功耗变化的对比指标，待机电流对比≤2mA，通话电流对比≤10%，用于评估测试对产品性能的影响
TRP指标,总辐射功率;Total Radiated Power,Metric,射频相关;性能指标;通信功能;天线性能,天线在所有方向上辐射的总功率，是衡量天线发射性能的重要指标，智能机测试前后差值应小于3dBm
TIS指标,总全向灵敏度;Total Isotropic Sensitivity,Metric,射频相关;性能指标;通信功能;天线性能,天线在所有方向上的接收灵敏度，是衡量天线接收性能的重要指标，与TRP配合评估天线整体性能
CAF失效,导电阳极丝状物失效;Conductive Anodic Filament,Symptom,可靠性;失效分析;电气性能;长期稳定性,PCB在高温高湿环境下产生的导电丝状物导致的电路短路失效，是电子产品常见的可靠性失效模式
虚焊,冷焊;Cold Solder Joint,Symptom,制造工艺;SMT;焊接质量;可靠性,焊点表面看似正常但电气连接不稳定的隐蔽性缺陷，通常因焊接温度不足或焊盘污染导致，可通过推力测试和切片分析发现
脱焊,焊点脱离;Solder Joint Separation,Symptom,制造工艺;SMT;焊接质量;可靠性,焊点完全脱离焊盘的失效现象，通常由热应力、机械应力或焊接工艺不当引起
烧屏,屏幕残影;Screen Burn-in,Symptom,显示相关;可靠性;用户体验;材料特性,AMOLED屏幕长时间显示固定画面后产生的永久性残影现象，影响显示效果和用户体验
水波纹,触摸屏波纹;Touch Panel Ripple,Symptom,显示相关;用户体验;质量控制;制造工艺,触摸屏受到冲击时产生的波纹状视觉干扰，影响显示效果，通常与贴合工艺相关
牛顿环,水印现象;Newton Ring,Symptom,显示相关;外观质量;制造工艺;材料特性,屏幕贴合不良导致的彩色环状干涉条纹，影响显示效果，多发生在框贴工艺中
重影现象,屏幕重影;Ghost Image,Symptom,显示相关;可靠性;用户体验;环境应力,高温环境下LCD屏幕出现的图像重叠现象，通常在恒温恒湿测试中观察，影响显示清晰度
