term,canonical_name,aliases,category,tags,description,source_file,created_at,updated_at
Hotspot,Hotspot,热点;局部过热,异常现象,硬件相关;可靠性,手机特定区域（如SoC、充电芯片）温度过高，影响用户体验和安全。,manual_import,2025-09-25T10:24:30.840960,2025-09-25T10:24:30.840960
暗角,暗角,边缘暗影;Shading,异常现象,摄像头模组;影像相关,照片四角出现亮度低于中心的现象，与镜头光学设计或组装有关。,manual_import,2025-09-25T10:24:30.840960,2025-09-25T10:24:30.840960
白点,白点,亮点;White Spot,异常现象,硬件相关;显示相关,显示屏上常亮的白色像素点，属于LCD/OLED的坏点的一种。,manual_import,2025-09-25T10:24:30.840960,2025-09-25T10:24:30.840960
爆音,爆音,破音;Popping Sound,异常现象,硬件相关;声学,扬声器在特定频率下输出失真，产生刺耳的噼啪声。,manual_import,2025-09-25T10:24:30.840960,2025-09-25T10:24:30.840960
变砖,变砖,无法开机;系统崩溃;Brick,异常现象,软件相关;硬件相关,手机软件系统严重故障，无法正常启动或使用的状态，通常需强制刷机修复。,manual_import,2025-09-25T10:24:30.840960,2025-09-25T10:24:30.840960
波纹,波纹,水波纹;Moire,异常现象,显示相关;影像相关,在拍摄特定条纹图案时，因空间频率混叠产生的干扰波纹。,manual_import,2025-09-25T10:24:30.840960,2025-09-25T10:24:30.840960
残胶,残胶,胶水残留;Glue Residual,异常现象,制造工艺;外观,在点胶或贴合工艺后，多余的胶水残留在产品表面，影响美观和性能。,manual_import,2025-09-25T10:24:30.840960,2025-09-25T10:24:30.840960
断触,断触,触摸失灵;Touch Failure,异常现象,硬件相关;人机交互,触摸屏局部或全部失去响应，可能与TP本身、FPC连接或软件驱动有关。,manual_import,2025-09-25T10:24:30.840960,2025-09-25T10:24:30.840960
断流,断流,网络中断;Network Disconnection,异常现象,硬件相关;软件相关,在使用Wi-Fi或移动数据时，网络连接意外中断又快速恢复的现象。,manual_import,2025-09-25T10:24:30.840960,2025-09-25T10:24:30.840960
发热,发热,过热;Overheat,异常现象,硬件相关;可靠性,手机在充电、高负载运算或信号差时产生的明显温升，影响手感和安全。,manual_append,2025-09-25T11:05:20.434812,2025-09-25T11:05:20.434812
发烫,发烫,严重发热,异常现象,硬件相关;安全相关,比发热更严重的温度异常，可能预示硬件短路或散热设计缺陷。,manual_append,2025-09-25T11:05:20.434812,2025-09-25T11:05:20.434812
反白,反白,亮点反转;White Spot Reverse,异常现象,显示相关,LCD显示屏上出现的异常亮斑，与液晶分子排列异常有关。,manual_append,2025-09-25T11:05:20.434812,2025-09-25T11:05:20.434812
飞漆,飞漆,油漆飞溅;Overspray,异常现象,制造工艺;外观,在喷涂过程中，油漆颗粒溅到非目标区域，造成外观不良。,manual_append,2025-09-25T11:05:20.434812,2025-09-25T11:05:20.434812
分色,分色,颜色差异;Color Difference,异常现象,外观;CMF,同一部件或相邻部件之间存在肉眼可察觉的颜色不一致。,manual_append,2025-09-25T11:05:20.434812,2025-09-25T11:05:20.434812
腐蚀,腐蚀,生锈;腐蚀;Corrosion,异常现象,可靠性;外观,金属部件因接触汗液、盐雾等腐蚀性物质而发生的化学变化，影响功能和寿命。,manual_append,2025-09-25T11:05:20.434812,2025-09-25T11:05:20.434812
干腐,干腐,干性腐蚀;Dry Corrosion,异常现象,可靠性;硬件相关,金属在干燥环境下与气体（如氧气）发生化学反应导致的腐蚀。,manual_append,2025-09-25T11:05:20.434812,2025-09-25T11:05:20.434812
鼓包,鼓包,电池鼓包;Battery Swelling,异常现象,硬件相关;安全相关,电池内部产生气体导致外壳膨胀，是严重的安全隐患，需立即停用。,manual_append,2025-09-25T11:05:20.434812,2025-09-25T11:05:20.434812
刮伤,刮伤,划痕;Scratch,异常现象,外观;可靠性,产品表面因摩擦留下的线性痕迹，影响美观，严重时影响功能。,manual_append,2025-09-25T11:05:20.434812,2025-09-25T11:05:20.434812
关机,关机,自动关机;Auto Shutdown,异常现象,软件相关;硬件相关,非人为操作导致的手机自动断电，可能与电池、电源管理芯片或系统有关。,manual_append,2025-09-25T11:05:20.434812,2025-09-25T11:05:20.434812
龟裂,龟裂,细微裂纹;Craze Cracks,异常现象,结构相关;可靠性,塑料或涂层表面出现的网状细微裂纹，通常与内应力或老化有关。,manual_append,2025-09-25T11:05:20.434812,2025-09-25T11:05:20.434812
黑屏,黑屏,屏幕不亮;Black Screen,异常现象,显示相关;硬件相关,手机有反应（如振动）但屏幕无任何显示，可能与屏幕、FPC或主板供电有关。,manual_append,2025-09-25T11:08:06.066479,2025-09-25T11:08:06.066479
花屏,花屏,屏幕花屏;Screen Corruption,异常现象,显示相关;硬件相关,屏幕显示乱码、条纹或色块，通常与显示接口、驱动芯片或内存有关。,manual_append,2025-09-25T11:08:06.066479,2025-09-25T11:08:06.066479
划伤,划伤,刮伤;Scratch,异常现象,外观;可靠性,产品表面因摩擦留下的线性痕迹，影响美观，严重时影响功能。,manual_append,2025-09-25T11:08:06.066479,2025-09-25T11:08:06.066479
黄斑,黄斑,屏幕黄斑;Yellow Spot,异常现象,显示相关,OLED屏幕局部出现的黄色斑块，可能与封装或材料老化有关。,manual_append,2025-09-25T11:08:06.066479,2025-09-25T11:08:06.066479
混光,混光,灯光混合;Light Mixing,异常现象,硬件相关;外观,不同颜色的LED灯光相互干扰，导致光色不纯，常见于指示灯设计。,manual_append,2025-09-25T11:08:06.066479,2025-09-25T11:08:06.066479
击穿,击穿,电压击穿;Breakdown,异常现象,硬件相关;安全相关,元器件因过电压导致绝缘失效而损坏，如电容击穿、ESD击穿。,manual_append,2025-09-25T11:08:06.066479,2025-09-25T11:08:06.066479
积墨,积墨,锡膏堆积;Solder Paste Accumulation,异常现象,SMT;制造工艺,钢网开口堵塞或刮刀压力不当导致锡膏印刷后局部过量，易引起连锡。,manual_append,2025-09-25T11:08:06.066479,2025-09-25T11:08:06.066479
夹料,夹料,材料被夹;Material Pinching,异常现象,制造工艺;结构相关,在装配过程中，线材、FPC等软性材料被外壳或螺丝不当挤压。,manual_append,2025-09-25T11:08:06.066479,2025-09-25T11:08:06.066479
假电,假电,虚电;False Power,异常现象,硬件相关;软件相关,手机显示电量充足但迅速关机，通常与电池老化、电量计校准不准有关。,manual_append,2025-09-25T11:08:06.066479,2025-09-25T11:08:06.066479
假压,假压,虚压;False Pressure,异常现象,制造工艺;结构相关,螺丝未真正拧紧或扭矩失效，导致连接松动，存在可靠性风险。,manual_append,2025-09-25T11:08:06.066479,2025-09-25T11:08:06.066479
胶印,胶印,胶水痕迹;Adhesive Mark,异常现象,外观;制造工艺,胶水溢出或擦拭不净，在产品表面留下可见的痕迹。,manual_append,2025-09-25T11:08:06.066479,2025-09-25T11:08:06.066479
焦灼,焦灼,烧焦;Burn Mark,异常现象,硬件相关;可靠性,局部过热导致塑料或PCB碳化变黑，通常为严重故障的表现。,manual_append,2025-09-25T11:08:06.066479,2025-09-25T11:08:06.066479
接触不良,接触不良,接触不稳定;Intermittent Contact,异常现象,硬件相关;电气连接,连接器、开关等因氧化、松动或污染导致时通时断的现象。,manual_append_batch3,2025-09-25T11:09:26.171921,2025-09-25T11:09:26.171921
结块,结块,胶水结块;Adhesive Lumping,异常现象,制造工艺;物料,胶水在储存或使用前发生部分固化，形成颗粒，影响点胶效果。,manual_append_batch3,2025-09-25T11:09:26.171921,2025-09-25T11:09:26.171921
卡顿,卡顿,操作不流畅;Lag,异常现象,软件相关;性能指标,系统或应用响应缓慢，界面动画掉帧，严重影响用户体验。,manual_append_batch3,2025-09-25T11:09:26.171921,2025-09-25T11:09:26.171921
开胶,开胶,脱胶;De-lamination,异常现象,结构相关;制造工艺,粘接的部件之间出现分离，如屏幕开胶、电池盖开胶。,manual_append_batch3,2025-09-25T11:09:26.171921,2025-09-25T11:09:26.171921
开裂,开裂,破裂;Crack,异常现象,结构相关;可靠性,材料或部件出现裂缝，通常由应力过大、材料脆性或冲击导致。,manual_append_batch3,2025-09-25T11:09:26.171921,2025-09-25T11:09:26.171921
开短路,开短路,开路与短路;Open/Short Circuit,异常现象,硬件相关;电气连接,电路两种基本故障模式：开路（断开）和短路（异常连接）。,manual_append_batch3,2025-09-25T11:09:26.171921,2025-09-25T11:09:26.171921
空焊,空焊,未上锡;Non-wetting,异常现象,SMT;制造工艺,元器件引脚或焊盘没有与焊锡形成良好的冶金结合。,manual_append_batch3,2025-09-25T11:09:26.171921,2025-09-25T11:09:26.171921
孔偏,孔偏,钻孔偏移;Drilling Offset,异常现象,PCB;制造工艺,PCB上的钻孔位置偏离设计中心，可能导致电气连接不良或短路。,manual_append_batch3,2025-09-25T11:09:26.171921,2025-09-25T11:09:26.171921
口哨声,口哨声,啸叫;Whistling Noise,异常现象,硬件相关;声学,电感、变压器等磁性元件在特定频率下振动产生的噪音。,manual_append_batch3,2025-09-25T11:09:26.171921,2025-09-25T11:09:26.171921
溃缩,溃缩,压溃变形;Crushing Deformation,异常现象,结构相关;可靠性,材料或结构在压力下发生永久性的压缩变形，失去原有功能。,manual_append_batch3,2025-09-25T11:09:26.171921,2025-09-25T11:09:26.171921
拉丝,拉丝,材料拉丝;Stringing,异常现象,制造工艺;外观,在点胶或塑料注塑过程中，材料被拉扯成丝状残留物。,manual_append_batch3,2025-09-25T11:09:26.171921,2025-09-25T11:09:26.171921
乐音,乐音,异音;Abnormal Sound,异常现象,硬件相关;声学,电机、齿轮等运动部件发出的非预期的、不悦耳的噪音。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
连锡,连锡,锡桥;Solder Bridge,异常现象,SMT;制造工艺,焊锡在相邻的两个焊点之间形成非预期的连接，导致短路。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
亮斑,亮斑,亮点;Bright Spot,异常现象,显示相关,显示屏上常亮的像素点或区域，属于显示缺陷。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
亮线,亮线,亮线缺陷;Line Defect,异常现象,显示相关,显示屏上出现的异常亮线，通常与驱动线路或屏幕本身损伤有关。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
裂纹,裂纹,裂痕;Crack,异常现象,结构相关;可靠性,材料局部开裂形成的缝隙，可能由应力、疲劳或缺陷引起。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
漏光,漏光,光泄漏;Light Leakage,异常现象,显示相关;硬件相关,屏幕边框处有非预期的光线射出，影响视觉效果和产品档次感。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
漏液,漏液,电池漏液;Liquid Leakage,异常现象,硬件相关;安全相关,电池电解液泄漏，具有腐蚀性且可能引发安全问题，是严重不良。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
漏码,漏码,激光漏打;Missing Laser Marking,异常现象,制造工艺;外观,产品上应有的序列号、Logo等信息未被激光打标或打标不清。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
漏贴,漏贴,元件漏贴;Missing Component,异常现象,SMT;制造工艺,贴片机未能将元器件贴装到PCB指定位置上。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
露白,露白,底色显露;Substrate Exposure,异常现象,外观;CMF,喷涂或镀层厚度不足或不均匀，导致底层材料颜色显露出来。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
露铜,露铜,铜层暴露;Copper Exposure,异常现象,PCB;可靠性,PCB表面的阻焊层破损，导致底层铜箔暴露，易氧化和短路。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
乱码,乱码,显示乱码;Garbled Characters,异常现象,显示相关;软件相关,屏幕显示的文字或符号变成无法识别的代码，可能与软件或内存有关。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
麻点,麻点,表面凹点;Pitting,异常现象,外观;制造工艺,产品表面出现的细小凹坑，可能与注塑、喷涂或电镀工艺有关。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
毛边,毛边,毛刺;Burr,异常现象,制造工艺;外观,金属或塑料件加工后边缘留下的多余材料，影响装配和安全。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
毛絮,毛絮,纤维粉尘;Lint,异常现象,制造工艺;外观,环境中或擦拭布上的纤维绒毛附着在产品表面，影响清洁度。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
霉斑,霉斑,发霉;Mildew,异常现象,可靠性;外观,在高温高湿环境下，有机物表面生长的霉菌斑点。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
米粒,米粒,锡珠;Solder Ball,异常现象,SMT;制造工艺,回流焊后散布在PCB上的微小锡球，可能引起短路。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
模垢,模垢,模具污垢;Mold Contamination,异常现象,制造工艺;外观,模具表面的残留物转移到产品上，导致注塑件表面缺陷。,manual_append_remaining,2025-09-25T11:11:49.766999,2025-09-25T11:11:49.766999
