term,canonical_name,aliases,category,tags,description
暗角,暗角,边缘暗影;Shading,异常现象,摄像头模组;影像相关,照片四角出现亮度低于中心的现象，与镜头光学设计或组装有关。
白点,白点,亮点;White Spot,异常现象,硬件相关;显示相关,显示屏上常亮的白色像素点，属于LCD/OLED的坏点的一种。
爆音,爆音,破音;Popping Sound,异常现象,硬件相关;声学,扬声器在特定频率下输出失真，产生刺耳的"噼啪"声。
变砖,变砖,无法开机;系统崩溃;Brick,异常现象,软件相关;硬件相关,手机软件系统严重故障，无法正常启动或使用的状态，通常需强制刷机修复。
波纹,波纹,水波纹;Moire,异常现象,显示相关;影像相关,在拍摄特定条纹图案时，因空间频率混叠产生的干扰波纹。
残胶,残胶,胶水残留;Glue Residual,异常现象,制造工艺;外观,在点胶或贴合工艺后，多余的胶水残留在产品表面，影响美观和性能。
断触,断触,触摸失灵;Touch Failure,异常现象,硬件相关;人机交互,触摸屏局部或全部失去响应，可能与TP本身、FPC连接或软件驱动有关。
断流,断流,网络中断;Network Disconnection,异常现象,硬件相关;软件相关,在使用Wi-Fi或移动数据时，网络连接意外中断又快速恢复的现象。
Hotspot,Hotspot,热点;局部过热,异常现象,硬件相关;可靠性,手机特定区域（如SoC、充电芯片）温度过高，影响用户体验和安全。
Gap,Gap,间隙;面差,结构相关,外观;装配,指手机外壳部件之间的间隙和高度差，是衡量装配精度和美观度的重要指标。
对焦失败,对焦失败,无法对焦;Focus Failure,异常现象,摄像头模组;影像相关,摄像头无法正确对焦到目标物体
画面模糊,画面模糊,图像不清晰;Blurry Image,异常现象,摄像头模组;影像相关,拍摄的图像不清晰，可能由对焦、防抖等问题引起
色彩偏差,色彩偏差,颜色不准;Color Deviation,异常现象,摄像头模组;显示相关,显示或拍摄的颜色与实际不符
黑屏,黑屏,屏幕不亮;Black Screen,异常现象,硬件相关;显示相关,屏幕无法显示任何内容，完全黑屏
花屏,花屏,显示异常;Screen Corruption,异常现象,硬件相关;显示相关,屏幕显示内容错乱，出现异常图案
触摸失灵,触摸失灵,无响应;Touch Unresponsive,异常现象,硬件相关;人机交互,触摸屏无法响应用户操作
按键失效,按键失效,按键无反应;Key Failure,异常现象,硬件相关;人机交互,物理按键或虚拟按键无法正常工作
充电异常,充电异常,无法充电;Charging Issue,异常现象,硬件相关;电源相关,电池无法正常充电或充电速度异常
发热严重,发热严重,过热;Overheating,异常现象,硬件相关;可靠性,设备温度过高，影响使用体验
耗电快,耗电快,续航差;Battery Drain,异常现象,硬件相关;软件相关,电池消耗速度异常快，续航时间短
死机,死机,系统卡死;System Freeze,异常现象,软件相关;硬件相关,系统停止响应，需要强制重启
重启,重启,自动重启;Auto Restart,异常现象,软件相关;硬件相关,设备自动重新启动，可能由软硬件问题引起
卡顿,卡顿,运行缓慢;Lag,异常现象,软件相关;性能指标,系统或应用运行不流畅，响应延迟
闪退,闪退,应用崩溃;App Crash,异常现象,软件相关,应用程序意外退出或崩溃
网络异常,网络异常,连接问题;Network Issue,异常现象,硬件相关;软件相关,无线网络连接不稳定或无法连接
声音异常,声音异常,音频问题;Audio Issue,异常现象,硬件相关;声学,扬声器或麦克风工作异常
振动异常,振动异常,马达问题;Vibration Issue,异常现象,硬件相关;人机交互,振动马达工作异常或无振动
进水,进水,液体损坏;Water Damage,异常现象,硬件相关;可靠性,设备进入液体导致的各种故障
跌落损坏,跌落损坏,摔坏;Drop Damage,异常现象,结构相关;可靠性,设备跌落造成的物理损坏
外观缺陷,外观缺陷,表面问题;Cosmetic Defect,异常现象,结构相关;外观,设备外观存在划痕、凹陷等缺陷
