term,aliases,category,sub_category,tags,definition,example,source,status,updated_at
天线辐射体,Antenna Radiator,Component,天线,射频相关;硬件相关;通信相关,天线的核心部分直接负责电磁波的辐射和接收,手机主天线辐射体,硬件模块扩展,active,2025-09-26
天线调谐器,Antenna Tuner,Component,天线,射频相关;硬件相关;通信相关,动态调整天线阻抗匹配以应对手握环境变化带来的失配,自适应天线调谐,硬件模块扩展,active,2025-09-26
射频前端模组,RFFE,Component,射频器件,射频相关;硬件相关;通信相关,集成PA LNA开关滤波器等功能的模块,射频前端集成模块,硬件模块扩展,active,2025-09-26
功率放大器,PA,Component,射频器件,射频相关;硬件相关;通信相关,放大发射链路的射频信号功率,手机发射功放,硬件模块扩展,active,2025-09-26
低噪声放大器,LNA,Component,射频器件,射频相关;硬件相关;通信相关,放大接收链路的微弱信号自身引入的噪声极低,接收链路低噪放,硬件模块扩展,active,2025-09-26
双工器,Duplexer,Component,射频器件,射频相关;硬件相关;通信相关,在FDD系统中允许发射和接收同时进行并隔离两者信号,FDD双工器,硬件模块扩展,active,2025-09-26
开关,Switch,Component,射频器件,射频相关;硬件相关;通信相关,在不同天线或频段之间进行切换,射频开关矩阵,硬件模块扩展,active,2025-09-26
滤波器,Filter,Component,射频器件,射频相关;硬件相关;通信相关,滤除带外干扰信号保留所需频带内的信号,SAW滤波器,硬件模块扩展,active,2025-09-26
天线触点,Antenna Contact,Component,连接器,射频相关;硬件相关;电气连接,天线辐射体与主板射频电路之间的物理连接点通常为弹片或pogo pin,天线弹片触点,硬件模块扩展,active,2025-09-26
同轴电缆,Coaxial Cable,Component,线缆,射频相关;硬件相关;线缆管理,用于传输射频信号具有屏蔽层以防干扰,射频同轴线,硬件模块扩展,active,2025-09-26
射频连接器,RF Connector,Component,连接器,射频相关;硬件相关;电气连接,用于连接射频电缆和PCB如IPEX连接器,IPEX射频连接器,硬件模块扩展,active,2025-09-26
净空区,Keep-out Area,Component,设计区域,射频相关;设计;硬件相关,天线周围为保证辐射效率而禁止布置金属器件的区域,天线净空区设计,硬件模块扩展,active,2025-09-26
信号弱,Weak Signal,Symptom,信号异常,射频相关;异常现象;通信相关,接收信号强度指示低导致通话质量差或数据速率慢,手机信号弱,硬件模块扩展,active,2025-09-26
通话掉线,Call Drop,Symptom,通信异常,射频相关;异常现象;通信相关,在通话过程中连接意外中断,通话中断故障,硬件模块扩展,active,2025-09-26
数据吞吐量低,Low Data Throughput,Symptom,性能异常,射频相关;异常现象;通信相关,上网速度远低于理论值或预期值,网速慢问题,硬件模块扩展,active,2025-09-26
搜网慢,Slow Network Search,Symptom,网络异常,射频相关;异常现象;通信相关,手机开机或进入新区域后寻找和注册到网络的时间过长,网络搜索缓慢,硬件模块扩展,active,2025-09-26
