term,aliases,category,sub_category,tags,definition,example,source,status,updated_at
金属中框,Metal Mid-frame,Component,结构件,结构相关;硬件相关,通常采用铝合金不锈钢等提供整机主要结构强度和散热路径,铝合金中框,硬件模块扩展,active,2025-09-26
玻璃后盖,Glass Back Cover,Component,结构件,结构相关;外观;硬件相关,提供美观质感并支持无线充电需与中框可靠粘接,玻璃背板,硬件模块扩展,active,2025-09-26
复合板材后盖,Composite Back Cover,Component,结构件,结构相关;外观;硬件相关,通过注塑喷涂镀膜等工艺实现类似玻璃的质感成本较低,复合材料后盖,硬件模块扩展,active,2025-09-26
摄像头装饰件,Camera Deco,Component,结构件,结构相关;外观;摄像头模组,保护摄像头模组并提升外观层次感常见金属或塑料镀膜,摄像头装饰圈,硬件模块扩展,active,2025-09-26
SIM卡托,SIM Tray,Component,结构件,结构相关;硬件相关,需保证与中框的配合精度和插拔手感具备防水功能,SIM卡槽,硬件模块扩展,active,2025-09-26
侧键,Side Key,Component,结构件,结构相关;硬件相关;人机交互,包括电源键和音量键通常为金属杆状结构通过弹片或Dome片实现触发,电源音量键,硬件模块扩展,active,2025-09-26
Type-C连接器,USB Type-C Connector,Component,连接器,结构相关;硬件相关;电气连接,负责充电数据传输和音频输出插拔寿命和防水是关键,USB-C接口,硬件模块扩展,active,2025-09-26
BTB连接器,Board-to-Board Connector,Component,连接器,结构相关;硬件相关;电气连接,连接主板与副板显示模组摄像头模组等要求高接触可靠性和抗振动性,板对板连接器,硬件模块扩展,active,2025-09-26
FPC,Flexible Printed Circuit,Component,连接器,结构相关;硬件相关;电气连接,柔性电路板用于空间受限或需要弯折的互连,柔性电路板,硬件模块扩展,active,2025-09-26
泡棉,Foam;Gasket,Material,结构材料,结构相关;物料;EMC,用于填充间隙提供缓冲电磁屏蔽或辅助防水,缓冲泡棉,硬件模块扩展,active,2025-09-26
防水胶,Waterproof Adhesive,Material,结构材料,结构相关;物料;可靠性,用于粘接屏幕后盖与中框形成防水密封圈,防水密封胶,硬件模块扩展,active,2025-09-26
点胶方案,Underfill;Potting,Process,结构工艺,结构相关;制造工艺;可靠性,在芯片底部或关键部件周围点胶增强机械强度和可靠性,芯片底部填充,硬件模块扩展,active,2025-09-26
纳米注塑,NMT,Process,结构工艺,结构相关;制造工艺;可靠性,在金属表面形成纳米级微孔注塑时塑料渗入形成强机械互锁,纳米注塑工艺,硬件模块扩展,active,2025-09-26
断差,Step,Symptom,结构缺陷,结构相关;异常现象;外观,相邻部件如屏幕与中框之间存在不应有的高度差,屏幕中框断差,硬件模块扩展,active,2025-09-26
缝隙,Gap,Symptom,结构缺陷,结构相关;异常现象;外观,部件之间的间隙不均匀或超出设计范围,装配缝隙过大,硬件模块扩展,active,2025-09-26
松动,Loose;Rattle,Symptom,结构缺陷,结构相关;异常现象;可靠性,部件装配不牢固受力或晃动时产生异响或位移,部件松动异响,硬件模块扩展,active,2025-09-26
卡扣断裂,Snap-fit Breakage,Symptom,结构缺陷,结构相关;异常现象;可靠性,塑料卡扣在装配或使用中断裂导致部件松动,塑料卡扣损坏,硬件模块扩展,active,2025-09-26
跌落测试,Drop Test,TestCase,结构测试,结构相关;测试验证;可靠性,模拟日常跌落场景验证整机结构强度屏幕抗摔能力,手机跌落测试,硬件模块扩展,active,2025-09-26
钢球冲击测试,Ball Drop Test,TestCase,结构测试,结构相关;测试验证;可靠性,用特定重量的钢球从一定高度冲击盖板玻璃测试其抗冲击强度,玻璃抗冲击测试,硬件模块扩展,active,2025-09-26
扭压测试,Twist and Bend Test,TestCase,结构测试,结构相关;测试验证;可靠性,对手机进行扭曲和弯曲测试结构抗变形能力,整机扭曲测试,硬件模块扩展,active,2025-09-26
按键寿命测试,Key Life Test,TestCase,结构测试,结构相关;测试验证;可靠性,模拟用户长时间使用测试侧键的按压寿命,按键耐久性测试,硬件模块扩展,active,2025-09-26
连接器插拔力测试,Connector Insertion/Extraction Force Test,TestCase,结构测试,结构相关;测试验证;可靠性,测试连接器的插入力和拔出力以及反复插拔后的性能变化,连接器寿命测试,硬件模块扩展,active,2025-09-26
结构强度仿真,Structural Simulation,Process,结构设计,结构相关;设计;工具,通过CAE软件如Abaqus模拟手机在跌落静压等工况下的应力分布,结构仿真分析,硬件模块扩展,active,2025-09-26
模具工程师,Mold Engineer,Role,工程师,结构相关;制造工艺;组织职责,负责结构件注塑模具的设计开发和维护,注塑模具工程师,硬件模块扩展,active,2025-09-26
结构工程师,Mechanical Engineer,Role,工程师,结构相关;设计;组织职责,负责手机整机结构零部件结构设计以及强度和可靠性验证,机械结构工程师,硬件模块扩展,active,2025-09-26
