term,aliases,category,sub_category,tags,definition,example,source,status,updated_at
OLED面板,有机发光二极管显示屏,Component,显示屏,显示相关;硬件相关,像素自发光对比度高色彩鲜艳可柔性的显示面板,手机OLED屏幕,硬件模块扩展,active,2025-09-26
LCD面板,液晶显示屏,Component,显示屏,显示相关;硬件相关,需要背光模组成本较低技术成熟的液晶显示面板,笔记本LCD屏幕,硬件模块扩展,active,2025-09-26
盖板玻璃,Cover Glass;防护玻璃,Component,显示屏,显示相关;结构相关;外观,保护屏幕免受冲击和刮伤的防护玻璃,康宁大猩猩玻璃,硬件模块扩展,active,2025-09-26
偏光片,Polarizer,Component,显示屏,显示相关;物料,将自然光转换为偏振光是LCD显示不可或缺的组件,LCD偏光片贴合,硬件模块扩展,active,2025-09-26
光学胶,OCA,Material,胶粘剂,显示相关;物料;制造工艺,用于全贴合粘接盖板与触摸屏或显示屏减少反光提升透光率,屏幕全贴合工艺,硬件模块扩展,active,2025-09-26
背光模组,Backlight Unit;BLU,Component,显示屏,显示相关;硬件相关,为LCD提供均匀明亮的面光源的模组,LCD背光系统,硬件模块扩展,active,2025-09-26
显示驱动芯片,DDI;Display Driver IC,Component,芯片,显示相关;硬件相关;半导体,接收主机信号驱动显示屏像素点显示图像的芯片,屏幕驱动IC,硬件模块扩展,active,2025-09-26
Mura缺陷,云斑;显示不均,Symptom,显示异常,显示相关;异常现象,屏幕亮度或色度不均匀呈现云状或斑块状的缺陷,屏幕云斑现象,硬件模块扩展,active,2025-09-26
亮线暗线,Line Defect,Symptom,显示异常,显示相关;异常现象,屏幕上出现的垂直或水平亮线暗线通常与驱动线路或屏幕损伤有关,屏幕线缺陷,硬件模块扩展,active,2025-09-26
亮点暗点,坏点,Symptom,显示异常,显示相关;异常现象,像素点常亮或不亮属于显示缺陷,屏幕坏点检测,硬件模块扩展,active,2025-09-26
漏光,Light Leakage,Symptom,显示异常,显示相关;异常现象,屏幕边缘有非预期的光线射出的现象,LCD边缘漏光,硬件模块扩展,active,2025-09-26
闪烁,Flicker,Symptom,显示异常,显示相关;异常现象;软件相关,屏幕亮度周期性快速变化可能由PWM调光引起,屏幕频闪现象,硬件模块扩展,active,2025-09-26
触控失灵,Touch Failure,Symptom,触控异常,显示相关;人机交互;异常现象,触摸屏局部或全部失去响应的故障,触摸屏无响应,硬件模块扩展,active,2025-09-26
伽马校正,Gamma Calibration,Process,显示调试,显示相关;测试验证;制造工艺,调整显示屏的灰阶输出特性使显示亮度与输入信号呈准确的幂函数关系,屏幕伽马值调整,硬件模块扩展,active,2025-09-26
色准调试,Color Calibration,Process,显示调试,显示相关;测试验证;影像相关,调整显示屏色域白平衡等参数使其色彩显示符合标准,屏幕色彩校准,硬件模块扩展,active,2025-09-26
亮度均匀性测试,Luminance Uniformity Test,TestCase,显示测试,显示相关;测试验证;性能指标,测量屏幕不同区域的亮度计算均匀性的测试,屏幕亮度一致性测试,硬件模块扩展,active,2025-09-26
色度均匀性测试,Chromaticity Uniformity Test,TestCase,显示测试,显示相关;测试验证;性能指标,测量屏幕不同区域的色坐标偏差的测试,屏幕色彩一致性测试,硬件模块扩展,active,2025-09-26
触控报点率,Touch Report Rate,Metric,,显示相关;性能指标;人机交互,每秒触摸屏上报坐标的次数影响触控跟手性,触控响应频率,硬件模块扩展,active,2025-09-26
屏幕响应时间,Response Time,Metric,,显示相关;性能指标,像素从一种颜色切换到另一种颜色所需的时间影响动态画面拖影,显示延迟测试,硬件模块扩展,active,2025-09-26
对比度,Contrast Ratio,Metric,,显示相关;性能指标,屏幕最亮与最暗区域的亮度比值,显示对比度测量,硬件模块扩展,active,2025-09-26
色域覆盖率,Color Gamut Coverage,Metric,,显示相关;性能指标;影像相关,显示屏能显示的颜色范围与标准色域（如sRGB DCI-P3）的比值,色域范围测试,硬件模块扩展,active,2025-09-26
分光色度计,Spectrophotometer,Tool,测试设备,显示相关;测试验证;影像相关,精确测量屏幕亮度色度等光学参数的仪器,屏幕光学测量,硬件模块扩展,active,2025-09-26
显示测试信号发生器,Pattern Generator,Tool,测试设备,显示相关;测试验证,产生各种标准测试画面（如纯色灰阶棋盘格）的设备,屏幕测试图案生成,硬件模块扩展,active,2025-09-26
自动光学检测设备,AOI for Display,Tool,检测设备,显示相关;测试验证;制造工艺,用相机自动检测显示屏外观缺陷（Mura坏点等）的设备,屏幕缺陷自动检测,硬件模块扩展,active,2025-09-26
显示模块工程师,Display Module Engineer,Role,工程师,显示相关;设计;硬件相关,负责显示屏选型光学调试可靠性验证及与整机的匹配,显示屏技术开发,硬件模块扩展,active,2025-09-26
