术语,别名,类别,多标签,备注
BTB连接器,板对板连接器;Board-to-Board Connector,部件,部件;电气连接,连接主板与副板、显示模组等的重要元件，易出现接触不良、虚焊等故障。
CMF,"颜色、材料、表面处理;Color,Material,Finishing",部件,设计;外观,决定手机外观质感的关键，涉及喷涂、阳极氧化、镀膜等工艺。
Dome片,按键弹片;Metal Dome,部件,部件;人机交互,提供按键手感的关键金属件，失效会导致按键无反应或手感差。
FPC,柔性电路板;Flexible Printed Circuit,部件,部件;电气连接,用于连接空间受限的部件，如摄像头、显示屏，易发生弯折断裂。
FPS,帧率;Frames Per Second,部件,性能指标;软件相关,衡量界面或游戏流畅度的关键指标，帧率过低会导致卡顿。
Gap,间隙;面差,部件,外观;装配,指手机外壳部件之间的间隙和高度差，是衡量装配精度和美观度的重要指标。
Lens,镜片;Camera Lens,部件,部件;影像相关,摄像头的光学镜片，有脏污、划伤、镀膜脱落等不良现象。
LRA,线性谐振执行器;Linear Resonant Actuator,部件,部件;人机交互,提供振动反馈的马达，失效或性能不佳会导致振动弱、异响。
OIS,光学防抖;Optical Image Stabilization,部件,功能;影像相关,通过镜组或传感器移动补偿手抖，模块不良会导致拍照模糊或异响。
SPK,扬声器;Speaker,部件,部件;声学,负责声音外放，常见不良有杂音、破音、无声。
TP,触摸屏;Touch Panel,部件,部件;人机交互,负责触控功能，常见故障有失灵、乱点、划线不良。
WLAN,无线局域网;Wireless LAN,部件,功能;性能指标,手机Wi-Fi功能，常见问题有连接失败、速率慢、断流。
包材,包装材料;Packaging Material,部件,物料;外观,指手机零售包装盒、内托等，破损、污渍会影响开箱体验。
背光,背光模组;Backlight,部件,部件;显示相关,为LCD屏幕提供光源的组件，常见不良有亮度不均、漏光、mura（斑驳）。
边框,中框;Middle Frame,部件,部件;外观,手机的骨架结构，用于固定内部元件，变形或腐蚀会影响整机强度和气密性。
充电口,USB-C接口;Type-C Port,部件,部件;电气连接,负责充电和数据传输，常见不良有端口松动、腐蚀、连接不稳定。
触点,金手指;Contact Pin,部件,部件;电气连接,电池、屏幕等模块上与主板连接的导电触点，氧化或污染会导致接触不良。
电芯,电池芯;Battery Cell,部件,部件;安全相关,电池的核心储能部件，其质量直接决定电池的容量、寿命和安全性。
飞线,跳线;Jumper Wire,部件,部件;PCB,在PCB上用于临时或永久修复电路连接的导线，影响可靠性和美观。
盖板,玻璃盖板;Cover Glass,部件,部件;外观,保护屏幕和装饰的前盖玻璃，要求高硬度、抗冲击和良好的光学性能。
高光,镜面效果;High-Gloss,部件,外观;CMF,通过高精度加工得到的镜面般的光泽效果，易出现划伤、橘皮等不良。
隔磁片,磁性屏蔽片;Magnetic Shielding Sheet,部件,部件;EMC,贴在器件上防止磁场干扰的薄片，粘贴不良或破损会影响无线充电或传感器性能。
公差,尺寸公差;Tolerance,部件,设计;工艺参数,允许的尺寸变动范围，合理的公差设计是保证装配性和功能的关键。
公母座,插头与插座;Connector Pair,部件,部件;电气连接,配对的连接器，如USB公座和母座，存在插拔力不良、寿命不足等风险。
功耗,功率消耗;Power Consumption,部件,硬件相关;软件相关,手机工作时的电能消耗，是衡量续航能力的关键，异常功耗需重点分析。
光感,环境光传感器;Ambient Light Sensor,部件,部件;传感器,用于自动调节屏幕亮度，被遮挡或失效会导致屏幕亮度调节失常。
滚轴,铰链;Hinge,部件,部件;可靠性,折叠屏手机的关键部件，负责屏幕弯折，对疲劳寿命和顺滑度要求极高。
过孔,导通孔;Via,部件,PCB;工艺参数,PCB上用于连接不同层电路的孔，孔铜不良会导致开路或可靠性问题。
焊盘,焊点;Pad,部件,PCB;SMT,PCB上用于焊接元件的金属区域，氧化或污染会导致上锡不良、虚焊。
基带,Baseband,部件,部件;通信相关,负责移动网络信号处理的芯片组，其软件和硬件故障会导致无服务、通话中断。
基板,衬底;Substrate,部件,部件;PCB,承载芯片和电路的基底材料，如陶瓷基板、BT基板等。
极耳,电池极耳; Battery Tab,部件,部件;安全相关,电芯正负极引出的金属带，焊接不良或折断会导致电池无法充电或工作。
铰链,转轴;Hinge,部件,部件;可靠性,折叠屏手机的核心机构，要求高寿命、顺滑度和稳定性。
接地点,接地位置;Grounding Point,部件,EMC;PCB,PCB上用于连接参考电位的点，设计不良会导致EMC问题或信号干扰。
金线,键合线;Bonding Wire,部件,部件;封装,芯片封装内部连接芯片焊盘和引线框架的细金属线，断裂会导致开路。
晶振,晶体振荡器;Crystal Oscillator,部件,部件;时钟,提供系统基准时钟信号的元件，失效会导致手机无法开机或功能紊乱。
镜座,镜头座;Lens Holder,部件,部件;摄像头模组,固定摄像头镜头的结构件，其加工精度和稳定性直接影响成像质量。
