term,aliases,category,sub_category,tags,definition,example,source,status,updated_at
3C认证,中国强制性产品认证,Process,认证流程,法规;质量体系;安全相关,中国市场准入的强制性安全认证,3C认证,硬件模块扩展,active,2025-09-26
CE标志,欧洲符合性标志,Process,认证流程,法规;质量体系;安全相关,产品符合欧盟安全健康环保要求的标志,CE标志,硬件模块扩展,active,2025-09-26
FCC认证,美国联邦通信委员会认证,Process,认证流程,法规;质量体系;EMC,美国市场电磁兼容性和射频设备合规性认证,FCC认证,硬件模块扩展,active,2025-09-26
UL认证,美国保险商实验室认证,Process,认证流程,法规;质量体系;安全相关,美国产品安全性能认证,UL认证,硬件模块扩展,active,2025-09-26
RoHS指令,有害物质限制指令,Process,环保法规,法规;环保;供应链,限制电子电气产品中使用特定有害物质的欧盟指令,RoHS指令,硬件模块扩展,active,2025-09-26
REACH法规,化学品注册评估授权和限制法规,Process,环保法规,法规;环保;供应链,欧盟对化学品安全管理的综合性法规,REACH法规,硬件模块扩展,active,2025-09-26
WEEE指令,废弃电子电气设备指令,Process,环保法规,法规;环保;供应链,欧盟关于电子电气设备废弃物回收利用的指令,WEEE指令,硬件模块扩展,active,2025-09-26
能效标准,能源效率标准,Process,能效法规,法规;环保;性能指标,对产品能耗和效率要求的强制性标准,能效标准,硬件模块扩展,active,2025-09-26
IP防护等级,异物防护等级,Metric,,法规;可靠性;结构相关,针对电气设备防尘防水能力的国际标准等级,IP防护等级,硬件模块扩展,active,2025-09-26
IK防护等级,冲击防护等级,Metric,,法规;可靠性;结构相关,针对电气设备外壳抵御外部机械冲击能力的等级,IK防护等级,硬件模块扩展,active,2025-09-26
静电放电抗扰度,ESD Immunity,TestCase,EMC测试,法规;测试验证;EMC,IEC 61000-4-2标准规定的静电放电抗扰度测试,ESD抗扰度测试,硬件模块扩展,active,2025-09-26
射频电磁场辐射抗扰度,辐射抗扰度,TestCase,EMC测试,法规;测试验证;EMC,IEC 61000-4-3标准规定的射频电磁场辐射抗扰度测试,辐射抗扰度测试,硬件模块扩展,active,2025-09-26
电快速瞬变脉冲群抗扰度,EFT抗扰度,TestCase,EMC测试,法规;测试验证;EMC,IEC 61000-4-4标准规定的电快速瞬变脉冲群抗扰度测试,EFT抗扰度测试,硬件模块扩展,active,2025-09-26
浪涌抗扰度,雷击测试,TestCase,EMC测试,法规;测试验证;EMC,IEC 61000-4-5标准规定的浪涌抗扰度测试,浪涌抗扰度测试,硬件模块扩展,active,2025-09-26
传导骚扰,传导发射,TestCase,EMC测试,法规;测试验证;EMC,CISPR 32等标准规定的设备通过电源线或信号线向外发射的骚扰,传导骚扰测试,硬件模块扩展,active,2025-09-26
辐射骚扰,辐射发射,TestCase,EMC测试,法规;测试验证;EMC,CISPR 32等标准规定的设备通过空间辐射的电磁骚扰,辐射骚扰测试,硬件模块扩展,active,2025-09-26
谐波电流发射,电流谐波,TestCase,EMC测试,法规;测试验证;EMC,IEC 61000-3-2标准规定的设备对电网的谐波电流干扰,谐波电流测试,硬件模块扩展,active,2025-09-26
电压波动和闪烁,闪烁测试,TestCase,EMC测试,法规;测试验证;EMC,IEC 61000-3-3标准规定的设备对电网电压波动的影响,闪烁测试,硬件模块扩展,active,2025-09-26
比吸收率,SAR,Metric,,法规;安全相关;射频相关,衡量人体吸收电磁辐射能量的速率有严格的法规限值,SAR值,硬件模块扩展,active,2025-09-26
听力安全,声压级限值,Metric,,法规;安全相关;声学,对耳机等音频设备输出声压级的限制以保护听力,听力安全,硬件模块扩展,active,2025-09-26
激光安全,激光辐射安全,Metric,,法规;安全相关;硬件相关,对设备激光辐射强度的安全限制要求,激光安全,硬件模块扩展,active,2025-09-26
生物相容性,皮肤刺激性,Metric,,法规;安全相关;可靠性,与人体接触的材料不引起过敏或刺激反应的要求,生物相容性,硬件模块扩展,active,2025-09-26
包装材料要求,包装环保要求,Process,环保法规,法规;环保;供应链,对产品包装材料的可再生可回收性要求,包装环保要求,硬件模块扩展,active,2025-09-26
能效标签,能源标签,Process,能效法规,法规;环保;性能指标,标示产品能效等级的强制性标签制度,能效标签,硬件模块扩展,active,2025-09-26
碳足迹,碳排放量,Metric,,法规;环保;供应链,产品全生命周期温室气体排放量的量化指标,碳足迹,硬件模块扩展,active,2025-09-26
冲突矿产,冲突矿物,Process,供应链法规,法规;环保;供应链,对来自刚果民主共和国等冲突地区矿产的使用限制,冲突矿产,硬件模块扩展,active,2025-09-26
数据安全,信息安全,Process,安全法规,法规;安全相关;软件相关,对用户数据保护和隐私安全的法规要求,数据安全,硬件模块扩展,active,2025-09-26
网络安全,网络信息安全,Process,安全法规,法规;安全相关;软件相关,对设备网络连接和安全防护的法规要求,网络安全,硬件模块扩展,active,2025-09-26
法规认证工程师,认证工程师,Role,工程师,法规;质量体系;组织职责,负责产品全球市场准入认证和法规符合性的专业人员,认证工程师,硬件模块扩展,active,2025-09-26
