source_term,target_term,confidence,source,note
热等静压,防水胶,1.0,suggestion:auto,tags=2; modules=2
超精密加工,防水胶,1.0,suggestion:auto,tags=2; modules=2
系统级封装,环氧模塑料,1.0,suggestion:auto,tags=2; modules=2
热等静压,聚氨酯密封胶,1.0,suggestion:auto,tags=2; modules=2
粉末注射成型,聚氨酯密封胶,1.0,suggestion:auto,tags=2; modules=2
阳极氧化,阳极氧化层,1.0,suggestion:auto,tags=2; modules=2
微弧氧化,阳极氧化层,1.0,suggestion:auto,tags=2; modules=2
晶圆级封装,塑封体,1.0,suggestion:auto,tags=2; modules=2
粉末注射成型,防水胶,1.0,suggestion:auto,tags=2; modules=2
原子扩散焊接,聚醚醚酮,1.0,suggestion:auto,tags=2; modules=2
选择性激光熔化,热塑性聚氨酯,1.0,suggestion:auto,tags=2; modules=2
超声波焊接,聚氨酯密封胶,1.0,suggestion:auto,tags=2; modules=2
激光焊,热塑性聚氨酯,1.0,suggestion:auto,tags=2; modules=2
模内微发泡,聚苯硫醚,1.0,suggestion:auto,tags=2; modules=2
超声波焊接,防水胶,1.0,suggestion:auto,tags=2; modules=2
飞秒激光加工,防水胶,1.0,suggestion:auto,tags=2; modules=2
点胶方案,防水胶,1.0,suggestion:auto,tags=2; modules=2
晶圆级封装,环氧模塑料,1.0,suggestion:auto,tags=2; modules=2
黑镍,阳极氧化层,1.0,suggestion:auto,tags=2; modules=2
冷喷涂,热塑性聚氨酯,1.0,suggestion:auto,tags=2; modules=2
激光熔覆,热塑性聚氨酯,1.0,suggestion:auto,tags=2; modules=2
原子扩散焊接,防水胶,1.0,suggestion:auto,tags=2; modules=2
超精密加工,聚氨酯密封胶,1.0,suggestion:auto,tags=2; modules=2
选择性激光熔化,防水胶,1.0,suggestion:auto,tags=2; modules=2
NCVM不导电真空镀,阳极氧化层,1.0,suggestion:auto,tags=2; modules=2
激光焊接,聚醚醚酮,1.0,suggestion:auto,tags=2; modules=2
邦定线弧形状,塑封体,1.0,suggestion:auto,tags=2; modules=2
纳米注塑,聚氨酯密封胶,1.0,suggestion:auto,tags=2; modules=2
激光焊,聚醚醚酮,1.0,suggestion:auto,tags=2; modules=2
邦定线线径,环氧模塑料,1.0,suggestion:auto,tags=2; modules=2
邦定第二点,环氧模塑料,1.0,suggestion:auto,tags=2; modules=2
邦定第二点,塑封体,1.0,suggestion:auto,tags=2; modules=2
邦定线弧长度,塑封体,1.0,suggestion:auto,tags=2; modules=2
选择性激光熔化,聚醚醚酮,1.0,suggestion:auto,tags=2; modules=2
选择性激光熔化,聚氨酯密封胶,1.0,suggestion:auto,tags=2; modules=2
点胶方案,聚氨酯密封胶,1.0,suggestion:auto,tags=2; modules=2
微机电系统,磁性形状记忆合金,1.0,suggestion:auto,tags=2; modules=2
黑镍,PVD镀膜,1.0,suggestion:auto,tags=2; modules=2
原子扩散焊接,聚氨酯密封胶,1.0,suggestion:auto,tags=2; modules=2
粉末注射成型,热塑性聚氨酯,1.0,suggestion:auto,tags=2; modules=2
水导激光,热塑性聚氨酯,1.0,suggestion:auto,tags=2; modules=2
冷喷涂,聚醚醚酮,1.0,suggestion:auto,tags=2; modules=2
摩擦搅拌焊,热塑性聚氨酯,1.0,suggestion:auto,tags=2; modules=2
激光熔覆,聚醚醚酮,1.0,suggestion:auto,tags=2; modules=2
电子束焊接,热塑性聚氨酯,1.0,suggestion:auto,tags=2; modules=2
摩擦搅拌焊,聚氨酯密封胶,1.0,suggestion:auto,tags=2; modules=2
水导激光,防水胶,1.0,suggestion:auto,tags=2; modules=2
超精密加工,聚醚醚酮,1.0,suggestion:auto,tags=2; modules=2
热等静压,聚醚醚酮,1.0,suggestion:auto,tags=2; modules=2
磁控溅射,PVD镀膜,1.0,suggestion:auto,tags=2; modules=2
系统级封装,塑封体,1.0,suggestion:auto,tags=2; modules=2
NCVM不导电真空镀,PVD镀膜,1.0,suggestion:auto,tags=2; modules=2
点胶方案,热塑性聚氨酯,1.0,suggestion:auto,tags=2; modules=2
激光焊接,聚氨酯密封胶,1.0,suggestion:auto,tags=2; modules=2
超声波焊接,聚醚醚酮,1.0,suggestion:auto,tags=2; modules=2
邦定线弧长度,环氧模塑料,1.0,suggestion:auto,tags=2; modules=2
邦定线线径,塑封体,1.0,suggestion:auto,tags=2; modules=2
纳米注塑,聚醚醚酮,1.0,suggestion:auto,tags=2; modules=2
金丝键合,塑封体,1.0,suggestion:auto,tags=2; modules=2
金丝键合,环氧模塑料,1.0,suggestion:auto,tags=2; modules=2
纳米注塑,防水胶,1.0,suggestion:auto,tags=2; modules=2
邦定线弧高度,塑封体,1.0,suggestion:auto,tags=2; modules=2
激光焊,聚氨酯密封胶,1.0,suggestion:auto,tags=2; modules=2
激光焊,防水胶,1.0,suggestion:auto,tags=2; modules=2
纳米注塑,热塑性聚氨酯,1.0,suggestion:auto,tags=2; modules=2
邦定线弧高度,环氧模塑料,1.0,suggestion:auto,tags=2; modules=2
模内微发泡,聚对苯二甲酸丁二醇酯,1.0,suggestion:auto,tags=2; modules=2
邦定线弧形状,环氧模塑料,1.0,suggestion:auto,tags=2; modules=2
阳极氧化,PVD镀膜,1.0,suggestion:auto,tags=2; modules=2
超声波焊接,热塑性聚氨酯,1.0,suggestion:auto,tags=2; modules=2
激光焊接,热塑性聚氨酯,1.0,suggestion:auto,tags=2; modules=2
点胶方案,聚醚醚酮,1.0,suggestion:auto,tags=2; modules=2
微弧氧化,PVD镀膜,1.0,suggestion:auto,tags=2; modules=2
激光焊接,防水胶,1.0,suggestion:auto,tags=2; modules=2
NCVM不导电真空镀,AG防眩光涂层,1.0,suggestion:auto,tags=2; modules=2
NCVM不导电真空镀,AF防指纹涂层,1.0,suggestion:auto,tags=2; modules=2
扇出型封装,环氧模塑料,1.0,suggestion:auto,tags=2; modules=2
扇出型封装,塑封体,1.0,suggestion:auto,tags=2; modules=2
磁控溅射,阳极氧化层,1.0,suggestion:auto,tags=2; modules=2
冷喷涂,防水胶,1.0,suggestion:auto,tags=2; modules=2
热等静压,热塑性聚氨酯,1.0,suggestion:auto,tags=2; modules=2
粉末注射成型,聚醚醚酮,1.0,suggestion:auto,tags=2; modules=2
超精密加工,热塑性聚氨酯,1.0,suggestion:auto,tags=2; modules=2
水导激光,聚醚醚酮,1.0,suggestion:auto,tags=2; modules=2
飞秒激光加工,聚醚醚酮,1.0,suggestion:auto,tags=2; modules=2
冷喷涂,聚氨酯密封胶,1.0,suggestion:auto,tags=2; modules=2
原子扩散焊接,热塑性聚氨酯,1.0,suggestion:auto,tags=2; modules=2
摩擦搅拌焊,聚醚醚酮,1.0,suggestion:auto,tags=2; modules=2
电子束焊接,聚醚醚酮,1.0,suggestion:auto,tags=2; modules=2
激光熔覆,聚氨酯密封胶,1.0,suggestion:auto,tags=2; modules=2
激光熔覆,防水胶,1.0,suggestion:auto,tags=2; modules=2
电子束焊接,防水胶,1.0,suggestion:auto,tags=2; modules=2
电子束焊接,聚氨酯密封胶,1.0,suggestion:auto,tags=2; modules=2
摩擦搅拌焊,防水胶,1.0,suggestion:auto,tags=2; modules=2
飞秒激光加工,热塑性聚氨酯,1.0,suggestion:auto,tags=2; modules=2
飞秒激光加工,聚氨酯密封胶,1.0,suggestion:auto,tags=2; modules=2
