term,aliases,category,sub_category,tags,definition,example,source,status,updated_at
图像传感器,Image Sensor;CIS,Component,传感器,影像相关;硬件相关;半导体,将光信号转换为电信号的核心芯片如CMOS传感器,手机摄像头传感器,硬件模块扩展,active,2025-09-26
镜头,Lens,Component,光学器件,影像相关;摄像头模组,光学镜片组负责光线汇聚,摄像头镜头组,硬件模块扩展,active,2025-09-26
音圈马达,VCM,Component,驱动器,影像相关;硬件相关,驱动镜头移动实现对焦的致动器,自动对焦马达,硬件模块扩展,active,2025-09-26
光学防抖,OIS,Component,防抖系统,影像相关;功能;性能指标,通过移动镜组或传感器补偿手抖的技术,摄像头防抖功能,硬件模块扩展,active,2025-09-26
红外滤光片,IR Cut Filter,Component,滤光片,影像相关;物料,滤除红外光使成像色彩更接近人眼所见的滤光片,红外截止滤镜,硬件模块扩展,active,2025-09-26
摄像头模组,CCM,Component,模组,影像相关;硬件相关,将传感器镜头VCM等封装成一体的功能模块,手机摄像头模块,硬件模块扩展,active,2025-09-26
镜座,Lens Holder,Component,结构件,影像相关;结构相关,固定镜头的光学结构件保证镜片同轴度,镜头固定座,硬件模块扩展,active,2025-09-26
偏芯,Lens Tilt;Decentering,Symptom,光学缺陷,影像相关;异常现象,镜头光学中心与传感器中心不重合导致成像锐度下降暗角,镜头偏心缺陷,硬件模块扩展,active,2025-09-26
杂质,Particle Contamination,Symptom,污染,影像相关;异常现象;制造工艺,模组内部有灰尘纤维等异物成像上有黑点,摄像头内部污染,硬件模块扩展,active,2025-09-26
鬼影,Ghosting,Symptom,光学缺陷,影像相关;异常现象,强光下图像中出现光源的反射重影与镜头镀膜和结构有关,逆光拍摄鬼影,硬件模块扩展,active,2025-09-26
暗角,Shading,Symptom,光学缺陷,影像相关;异常现象,照片四角亮度低于中心的现象,图像边缘变暗,硬件模块扩展,active,2025-09-26
对焦迟缓,Slow Auto-Focus,Symptom,性能缺陷,影像相关;异常现象;性能指标,相机对焦速度慢的问题,自动对焦反应慢,硬件模块扩展,active,2025-09-26
解析力不足,Poor Resolution,Symptom,性能缺陷,影像相关;异常现象;性能指标,拍摄的照片细节不清边缘模糊,图像清晰度不够,硬件模块扩展,active,2025-09-26
主动对齐,Active Alignment,Process,组装工艺,影像相关;制造工艺;摄像头模组,在通电状态下调整传感器与镜头的相对位置以达到最佳光学性能的组装工艺,摄像头主动校准,硬件模块扩展,active,2025-09-26
标定,Calibration,Process,校准工艺,影像相关;测试验证;制造工艺,对摄像头模块进行参数校正如shading correction AF calibration,摄像头参数校准,硬件模块扩展,active,2025-09-26
调制传递函数测试,MTF Test,TestCase,光学测试,影像相关;测试验证;性能指标,评价镜头成像分辨率和对比度还原能力的核心光学测试,镜头MTF测试,硬件模块扩展,active,2025-09-26
色彩还原测试,Color Reproduction Test,TestCase,色彩测试,影像相关;测试验证;性能指标,评估摄像头在不同光源下还原被摄物颜色的准确性,色彩准确性测试,硬件模块扩展,active,2025-09-26
信噪比,SNR,Metric,,影像相关;性能指标,图像信号与噪声的比值衡量图像纯净度,图像信噪比测量,硬件模块扩展,active,2025-09-26
灵敏度,Sensitivity,Metric,,影像相关;性能指标,传感器将光信号转换为电信号的效率,传感器感光度,硬件模块扩展,active,2025-09-26
动态范围,Dynamic Range,Metric,,影像相关;性能指标,传感器能同时捕捉的最亮和最暗细节的范围,图像动态范围,硬件模块扩展,active,2025-09-26
镜头畸变,Lens Distortion,Metric,,影像相关;性能指标,镜头引起的图像形变如桶形畸变枕形畸变,镜头变形测量,硬件模块扩展,active,2025-09-26
影像质量测试卡,IQ Test Chart,Tool,测试工具,影像相关;测试验证,如ISO12233分辨率测试卡24色卡等测试图卡,摄像头测试图卡,硬件模块扩展,active,2025-09-26
积分球,Integrating Sphere,Tool,光学设备,影像相关;测试验证,提供均匀稳定的面光源用于摄像头均匀性色差等测试,光学积分球,硬件模块扩展,active,2025-09-26
影像实验室,Image Quality Lab,Tool,测试环境,影像相关;测试验证;组织职责,配备暗室光源测试设备和软件的专门测试场地,摄像头测试实验室,硬件模块扩展,active,2025-09-26
影像质量工程师,Image Quality Engineer,Role,工程师,影像相关;测试验证;设计,负责制定摄像头评测标准进行主观和客观的影像质量评估与调试,摄像头调试工程师,硬件模块扩展,active,2025-09-26
