term,aliases,category,sub_category,tags,definition,example,source,status,updated_at
阳极氧化层,Anodized Layer,Material,表面处理,CMF;外观;可靠性,通过电解在铝合金表面生成的坚硬耐腐蚀的氧化铝陶瓷膜可着色,阳极氧化铝,硬件模块扩展,active,2025-09-26
PVD镀膜,物理气相沉积镀膜,Material,表面处理,CMF;外观;可靠性,在真空环境下通过溅射或蒸发方式在表面沉积金属/化合物薄膜呈现金属光泽色彩,PVD涂层,硬件模块扩展,active,2025-09-26
AF防指纹涂层,抗指纹涂层,Material,功能涂层,CMF;外观;用户体验,在玻璃或镀层表面涂覆的疏油疏水涂层减少指纹和污渍附着,防指纹膜,硬件模块扩展,active,2025-09-26
AG防眩光涂层,抗反射涂层,Material,功能涂层,CMF;外观;显示相关,在玻璃表面通过化学蚀刻或涂层形成微细粗糙度减少环境光反射,防眩光膜,硬件模块扩展,active,2025-09-26
NCVM不导电真空镀,非导电真空镀,Process,表面处理,CMF;制造工艺;外观,一种PVD工艺镀膜层不连续不影响内部天线信号传输同时实现金属质感,NCVM工艺,硬件模块扩展,active,2025-09-26
IML模内注塑装饰,模内贴标,Process,装饰工艺,CMF;制造工艺;结构相关,将印刷好的薄膜放入模具内注塑时与塑胶件结合图案耐磨且具有立体感,模内装饰,硬件模块扩展,active,2025-09-26
高压成型,High Pressure Forming,Process,成型工艺,制造工艺;结构相关,将平面薄膜通过加热加压使其在模具内成型为3D形状用于复杂曲面装饰,3D成型,硬件模块扩展,active,2025-09-26
色差,Color Difference,Symptom,外观缺陷,CMF;异常现象;外观,同一部件不同批次或同一手机不同部件之间存在肉眼可察觉的颜色不一致,颜色差异,硬件模块扩展,active,2025-09-26
橘皮纹,Orange Peel,Symptom,外观缺陷,CMF;异常现象;外观,涂层表面出现类似橘皮的不平整纹理,表面橘皮,硬件模块扩展,active,2025-09-26
颗粒感,Graininess,Symptom,外观缺陷,CMF;异常现象;外观,涂层表面有可见的微小颗粒,表面颗粒,硬件模块扩展,active,2025-09-26
缩水,Sink Mark,Symptom,成型缺陷,制造工艺;异常现象;外观,塑胶件在肉厚较大区域因冷却收缩不均导致表面凹陷,注塑缩水,硬件模块扩展,active,2025-09-26
熔接痕,Weld Line,Symptom,成型缺陷,制造工艺;异常现象;外观;结构相关,两股熔融塑料流前沿相遇时因融合不良形成的线痕强度和外观均有影响,熔接线,硬件模块扩展,active,2025-09-26
刮花,Scratch,Symptom,外观缺陷,外观;异常现象;可靠性,表面因摩擦留下的线性痕迹,表面划痕,硬件模块扩展,active,2025-09-26
耐磨测试,Abrasion Resistance Test,TestCase,外观测试,测试验证;可靠性;外观,使用特定磨料和压力对表面进行摩擦评估其抗刮擦能力如钢丝绒磨擦,耐磨性测试,硬件模块扩展,active,2025-09-26
附着力测试,Adhesion Test,TestCase,外观测试,测试验证;可靠性;外观,评估涂层与基材结合强度如百格测试胶带拉拔测试,涂层附着力测试,硬件模块扩展,active,2025-09-26
耐汗液测试,Perspiration Resistance Test,TestCase,外观测试,测试验证;可靠性;外观,模拟汗液腐蚀测试涂层耐化学腐蚀性和颜色稳定性,汗液腐蚀测试,硬件模块扩展,active,2025-09-26
光泽度,Gloss,Metric,,CMF;性能指标;外观,表面反射光线的能力用光泽度单位表示,表面光泽,硬件模块扩展,active,2025-09-26
粗糙度,Roughness,Metric,,CMF;性能指标;外观,表面具有的较小间距和微小峰谷的不平度常用Ra值表示,表面粗糙度,硬件模块扩展,active,2025-09-26
颜色坐标,Color Coordinate,Metric,,CMF;性能指标;外观,在Lab LCh等色彩空间中表示颜色的具体数值,色彩坐标,硬件模块扩展,active,2025-09-26
色差仪,Colorimeter,Tool,测试设备,CMF;测试验证;工具,测量样品颜色坐标的仪器,颜色测量仪,硬件模块扩展,active,2025-09-26
光泽度计,Glossmeter,Tool,测试设备,CMF;测试验证;工具,测量表面光泽度的仪器,光泽仪,硬件模块扩展,active,2025-09-26
表面轮廓仪,Profilometer,Tool,测试设备,CMF;测试验证;工具,接触式或非接触式测量表面粗糙度和轮廓形状,轮廓测量仪,硬件模块扩展,active,2025-09-26
CMF设计师,CMF Designer,Role,设计师,CMF;设计;组织职责,负责手机的颜色材质和表面处理工艺的设计与策划,色彩材质设计师,硬件模块扩展,active,2025-09-26
外观质量工程师,Appearance Quality Engineer,Role,工程师,外观;质量体系;组织职责,负责制定外观检验标准监控和提升产品外观质量,外观品质工程师,硬件模块扩展,active,2025-09-26
