term,aliases,category,sub_category,tags,definition,example,source,status,updated_at
杨氏模量,弹性模量,Metric,,物料;结构相关;可靠性,材料在弹性变形范围内应力与应变的比值表征材料抵抗弹性变形的能力,弹性模量,硬件模块扩展,active,2025-09-26
屈服强度,屈服点,Metric,,物料;结构相关;可靠性,材料开始产生明显塑性变形时的应力值,屈服应力,硬件模块扩展,active,2025-09-26
抗拉强度,拉伸强度,Metric,,物料;结构相关;可靠性,材料在断裂前所能承受的最大应力,拉伸强度,硬件模块扩展,active,2025-09-26
伸长率,延伸率,Metric,,物料;结构相关;可靠性,材料断裂时的相对伸长量表征材料塑性变形能力,延伸率,硬件模块扩展,active,2025-09-26
硬度,材料硬度,Metric,,物料;结构相关;可靠性,材料抵抗局部塑性变形如压痕的能力,材料硬度值,硬件模块扩展,active,2025-09-26
冲击韧性,冲击强度,Metric,,物料;结构相关;可靠性,材料在冲击载荷作用下吸收塑性变形功和断裂功的能力,冲击韧性值,硬件模块扩展,active,2025-09-26
疲劳强度,疲劳极限,Metric,,物料;结构相关;可靠性,材料在无限次应力循环下不发生破坏的最大应力,疲劳极限,硬件模块扩展,active,2025-09-26
蠕变极限,蠕变强度,Metric,,物料;结构相关;可靠性,材料在高温长期应力作用下抵抗蠕变变形的能力,蠕变强度,硬件模块扩展,active,2025-09-26
热膨胀系数,CTE,Metric,,物料;热管理;可靠性,温度每升高1℃材料长度或体积的相对变化量,热膨胀系数,硬件模块扩展,active,2025-09-26
热导率,导热系数,Metric,,物料;热管理;可靠性,材料传导热量的能力单位W/(m·K),导热系数,硬件模块扩展,active,2025-09-26
比热容,比热,Metric,,物料;热管理;可靠性,单位质量材料升高单位温度所需的热量,比热容,硬件模块扩展,active,2025-09-26
密度,体积质量,Metric,,物料;结构相关;设计,单位体积材料的质量,材料密度,硬件模块扩展,active,2025-09-26
电阻率,体积电阻率,Metric,,物料;电气性能;硬件相关,表征材料导电性能的物理量,体积电阻率,硬件模块扩展,active,2025-09-26
介电常数,电容率,Metric,,物料;电气性能;硬件相关,表征电介质材料极化能力的物理量,介电常数,硬件模块扩展,active,2025-09-26
介质损耗,介电损耗,Metric,,物料;电气性能;硬件相关,电介质在交变电场中能量损耗的大小,介电损耗,硬件模块扩展,active,2025-09-26
磁导率,磁导系数,Metric,,物料;电气性能;EMC,表征磁介质材料导磁能力的物理量,磁导率,硬件模块扩展,active,2025-09-26
耐电弧性,抗电弧性,Metric,,物料;电气性能;安全相关,绝缘材料抵抗电弧作用的能力,耐电弧性,硬件模块扩展,active,2025-09-26
耐漏电起痕指数,CTI,Metric,,物料;电气性能;安全相关,绝缘材料表面抵抗漏电痕迹的能力,CTI指数,硬件模块扩展,active,2025-09-26
氧指数,极限氧指数,Metric,,物料;安全相关;可靠性,材料在氧气和氮气混合气体中维持燃烧所需的最低氧气浓度,氧指数,硬件模块扩展,active,2025-09-26
UL94阻燃等级,燃烧等级,Metric,,物料;安全相关;可靠性,塑料材料阻燃性能评价标准,UL94等级,硬件模块扩展,active,2025-09-26
玻璃化转变温度,Tg,Metric,,物料;可靠性;制造工艺,聚合物从玻璃态向高弹态转变的温度,玻璃化温度,硬件模块扩展,active,2025-09-26
熔融温度,熔点,Metric,,物料;制造工艺;可靠性,晶体材料从固态转变为液态的温度,熔点温度,硬件模块扩展,active,2025-09-26
热变形温度,HDT,Metric,,物料;可靠性;制造工艺,塑料在特定负荷下达到规定变形量的温度,热变形温度,硬件模块扩展,active,2025-09-26
维卡软化温度,VST,Metric,,物料;可靠性;制造工艺,塑料在特定条件下达到规定压入深度的温度,维卡软化点,硬件模块扩展,active,2025-09-26
吸水率,吸湿率,Metric,,物料;可靠性;制造工艺,材料浸泡在水中吸收水分的程度,吸水率,硬件模块扩展,active,2025-09-26
透湿率,水蒸气透过率,Metric,,物料;可靠性;制造工艺,材料透过水蒸气的能力,透湿率,硬件模块扩展,active,2025-09-26
透气率,气体透过率,Metric,,物料;可靠性;制造工艺,材料透过氧气等气体的能力,透气率,硬件模块扩展,active,2025-09-26
耐化学药品性,耐化学品性,Metric,,物料;可靠性;制造工艺,材料抵抗酸碱溶剂等化学药品侵蚀的能力,耐化学性,硬件模块扩展,active,2025-09-26
耐候性,耐老化性,Metric,,物料;可靠性;外观,材料抵抗阳光雨水温度等气候条件破坏的能力,耐候性,硬件模块扩展,active,2025-09-26
耐磨性,耐磨损性,Metric,,物料;可靠性;外观,材料抵抗机械磨损的能力,耐磨性,硬件模块扩展,active,2025-09-26
耐刮擦性,抗刮擦性,Metric,,物料;可靠性;外观,材料表面抵抗刮擦损伤的能力,抗刮擦性,硬件模块扩展,active,2025-09-26
