term,aliases,category,sub_category,tags,definition,example,source,status,updated_at
失效模式,故障模式,Symptom,可靠性异常,可靠性;质量体系;异常现象,产品失效的具体表现形式如开路短路参数漂移等,故障模式,硬件模块扩展,active,2025-09-26
失效机理,故障机理,Symptom,可靠性异常,可靠性;质量体系;异常现象,导致产品失效的物理化学或其它过程,故障机理,硬件模块扩展,active,2025-09-26
失效分析,故障分析,Process,可靠性分析,可靠性;质量体系;测试验证,通过一系列技术方法确定失效模式和机理的过程,失效分析,硬件模块扩展,active,2025-09-26
根因分析,根本原因分析,Process,可靠性分析,可靠性;质量体系;测试验证,追溯并确定导致问题发生的最深层原因,根因分析,硬件模块扩展,active,2025-09-26
鱼骨图,因果图,Tool,分析工具,可靠性;质量体系;工具,用于系统性分析问题所有可能原因的图表工具,鱼骨图,硬件模块扩展,active,2025-09-26
8D方法,8步纠正措施,Process,质量改进,可靠性;质量体系;流程相关,系统化解决质量问题的八步法流程,8D方法,硬件模块扩展,active,2025-09-26
故障树分析,FTA,Tool,分析工具,可靠性;质量体系;工具,通过逻辑演绎分析系统故障与底层事件关系的分析方法,故障树分析,硬件模块扩展,active,2025-09-26
失效模式与影响分析,FMEA,Tool,分析工具,可靠性;质量体系;工具,系统性识别和预防潜在失效模式的分析方法,FMEA分析,硬件模块扩展,active,2025-09-26
故障报告分析和纠正措施系统,FRACAS,Process,质量管理,可靠性;质量体系;流程相关,闭环的故障数据管理和问题解决系统,FRACAS系统,硬件模块扩展,active,2025-09-26
平均无故障时间,MTBF,Metric,,可靠性;性能指标;质量体系,可修复产品相邻两次故障间的平均工作时间,MTBF指标,硬件模块扩展,active,2025-09-26
平均修复时间,MTTR,Metric,,可靠性;性能指标;质量体系,故障修复所需的平均时间,MTTR指标,硬件模块扩展,active,2025-09-26
失效率,故障率,Metric,,可靠性;性能指标;质量体系,单位时间内产品发生故障的概率,失效率,硬件模块扩展,active,2025-09-26
浴盆曲线,故障率曲线,Metric,,可靠性;性能指标;质量体系,产品失效率随时间变化的典型曲线形状,浴盆曲线,硬件模块扩展,active,2025-09-26
加速寿命测试,ALT,TestCase,可靠性测试,可靠性;测试验证;质量体系,通过施加高应力在短时间内获得产品寿命信息,加速寿命测试,硬件模块扩展,active,2025-09-26
高加速寿命测试,HALT,TestCase,可靠性测试,可靠性;测试验证;质量体系,通过步进应力快速发现产品设计极限和薄弱环节,HALT测试,硬件模块扩展,active,2025-09-26
高加速应力筛选,HASS,TestCase,可靠性测试,可靠性;测试验证;质量体系,在生产阶段使用高应力快速剔除有缺陷产品,HASS筛选,硬件模块扩展,active,2025-09-26
环境应力筛选,ESS,TestCase,可靠性测试,可靠性;测试验证;质量体系,通过环境应力激发和剔除早期失效产品,ESS筛选,硬件模块扩展,active,2025-09-26
可靠性增长测试,RGT,TestCase,可靠性测试,可靠性;测试验证;质量体系,通过测试-改进-再测试循环逐步提高产品可靠性,可靠性增长测试,硬件模块扩展,active,2025-09-26
可靠性鉴定测试,RQT,TestCase,可靠性测试,可靠性;测试验证;质量体系,验证产品设计是否满足可靠性要求的测试,可靠性鉴定测试,硬件模块扩展,active,2025-09-26
可靠性验收测试,RAT,TestCase,可靠性测试,可靠性;测试验证;质量体系,对批量生产产品进行抽样可靠性验证,可靠性验收测试,硬件模块扩展,active,2025-09-26
威布尔分布,Weibull分布,Tool,统计工具,可靠性;质量体系;工具,常用于可靠性数据分析的概率分布模型,威布尔分布,硬件模块扩展,active,2025-09-26
阿伦尼乌斯模型,温度加速模型,Tool,加速模型,可靠性;质量体系;工具,基于化学反应速率理论的温度加速模型,阿伦尼乌斯模型,硬件模块扩展,active,2025-09-26
艾林模型,温度-湿度加速模型,Tool,加速模型,可靠性;质量体系;工具,考虑温度和湿度共同作用的加速模型,艾林模型,硬件模块扩展,active,2025-09-26
科芬-曼森关系,温度循环加速模型,Tool,加速模型,可靠性;质量体系;工具,基于疲劳损伤理论的温度循环加速模型,科芬-曼森模型,硬件模块扩展,active,2025-09-26
可靠性预计,可靠性预测,Process,可靠性设计,可靠性;设计;质量体系,基于元器件失效率数据预测系统可靠性水平,可靠性预计,硬件模块扩展,active,2025-09-26
可靠性分配,可靠性指标分配,Process,可靠性设计,可靠性;设计;质量体系,将系统可靠性指标合理分配到各分系统和元器件,可靠性分配,硬件模块扩展,active,2025-09-26
可靠性设计,DfR,Process,可靠性设计,可靠性;设计;质量体系,在产品设计阶段就考虑和融入可靠性要求,可靠性设计,硬件模块扩展,active,2025-09-26
失效分析工程师,FA工程师,Role,工程师,可靠性;质量体系;组织职责,负责产品失效分析和技术问题解决的专业人员,FA工程师,硬件模块扩展,active,2025-09-26
可靠性工程师,可靠性专家,Role,工程师,可靠性;质量体系;组织职责,负责可靠性设计测试和管理的专业人员,可靠性工程师,硬件模块扩展,active,2025-09-26
