term,aliases,category,sub_category,tags,definition,example,source,status,updated_at
MEMS加速度计,Accelerometer,Component,传感器,传感器;硬件相关;性能指标,测量手机在三个轴上的线性加速度用于计步屏幕旋转等,三轴加速度传感器,硬件模块扩展,active,2025-09-26
陀螺仪,Gyroscope,Component,传感器,传感器;硬件相关;性能指标,测量手机围绕三个轴的旋转角速度用于导航游戏控制等,三轴陀螺仪,硬件模块扩展,active,2025-09-26
磁力计,Magnetometer,Component,传感器,传感器;硬件相关;性能指标,测量环境磁场强度用于电子罗盘方向检测,三轴磁力计,硬件模块扩展,active,2025-09-26
距离传感器,Proximity Sensor,Component,传感器,传感器;硬件相关;功能,通常由红外LED和光电二极管组成检测手机与物体的距离用于通话时熄屏,红外距离传感器,硬件模块扩展,active,2025-09-26
环境光传感器,ALS,Component,传感器,传感器;硬件相关;功能,检测环境光强度用于自动调节屏幕亮度,光线传感器,硬件模块扩展,active,2025-09-26
气压计,Barometer,Component,传感器,传感器;硬件相关;性能指标,测量大气压强用于海拔计算天气辅助预测,大气压传感器,硬件模块扩展,active,2025-09-26
霍尔传感器,Hall Sensor,Component,传感器,传感器;硬件相关;功能,检测磁场变化常用于翻盖保护套的智能唤醒功能,磁场传感器,硬件模块扩展,active,2025-09-26
指纹传感器,Fingerprint Sensor,Component,传感器,传感器;硬件相关;安全相关;功能,通过光学电容或超声波方式采集指纹信息用于身份认证,指纹识别传感器,硬件模块扩展,active,2025-09-26
红外发射器,IR Blaster,Component,传感器,传感器;硬件相关;功能,发射红外信号可遥控电视空调等家电,红外遥控器,硬件模块扩展,active,2025-09-26
色温传感器,Color Temperature Sensor,Component,传感器,传感器;影像相关;功能,检测环境光色温辅助相机白平衡校准,色温检测传感器,硬件模块扩展,active,2025-09-26
传感器中枢,Sensor Hub,Component,传感器,传感器;硬件相关;软件相关,低功耗协处理器专门用于处理各类传感器数据降低主芯片功耗,传感器协处理器,硬件模块扩展,active,2025-09-26
传感器校准,Sensor Calibration,Process,传感器校准,传感器;制造工艺;测试验证,在产线末端对传感器的零点灵敏度交叉轴误差等进行标定确保数据准确,传感器标定,硬件模块扩展,active,2025-09-26
传感器融合,Sensor Fusion,Process,传感器算法,传感器;软件相关;算法,将多个传感器如加速度计陀螺仪磁力计的数据进行算法融合得到更精确的姿态信息,多传感器融合,硬件模块扩展,active,2025-09-26
数据漂移,Data Drift,Symptom,传感器异常,传感器;异常现象;可靠性,传感器输出数据随时间发生缓慢偏移偏离真实值,传感器数据偏移,硬件模块扩展,active,2025-09-26
响应延迟,Response Lag,Symptom,传感器异常,传感器;异常现象;性能指标,传感器检测到物理量变化到输出数据之间存在明显延迟,传感器响应慢,硬件模块扩展,active,2025-09-26
精度不足,Poor Accuracy,Symptom,传感器异常,传感器;异常现象;性能指标,传感器测量值与真实值之间存在较大系统误差,传感器精度差,硬件模块扩展,active,2025-09-26
零点偏移,Zero Offset,Symptom,传感器异常,传感器;异常现象;性能指标,在输入为零时传感器输出不为零,传感器零点漂移,硬件模块扩展,active,2025-09-26
传感器功能测试,Sensor Functional Test,TestCase,传感器测试,传感器;测试验证;功能,验证各传感器基本功能是否正常如摇动手机触发相应动作,传感器功能验证,硬件模块扩展,active,2025-09-26
精度验证测试,Accuracy Verification Test,TestCase,传感器测试,传感器;测试验证;性能指标,在受控条件下将传感器读数与更高精度的标准器进行比对,传感器精度测试,硬件模块扩展,active,2025-09-26
稳定性测试,Stability Test,TestCase,传感器测试,传感器;测试验证;可靠性,长时间运行传感器观察其输出数据的稳定性,传感器稳定性验证,硬件模块扩展,active,2025-09-26
分辨率,Resolution,Metric,,传感器;性能指标,传感器能感知到的被测量的最小变化量,传感器分辨率,硬件模块扩展,active,2025-09-26
量程,Full Scale Range,Metric,,传感器;性能指标,传感器能够测量的被测量的最大值与最小值之差,传感器测量范围,硬件模块扩展,active,2025-09-26
非线性度,Non-Linearity,Metric,,传感器;性能指标,传感器实际特性曲线与拟合直线之间的最大偏差,传感器线性度,硬件模块扩展,active,2025-09-26
重复性,Repeatability,Metric,,传感器;性能指标,在同一条件下多次测量同一被测量其输出值的一致性,传感器重复性,硬件模块扩展,active,2025-09-26
转台,Turntable,Tool,测试设备,传感器;测试验证;工具,用于精确控制手机旋转角度和速率校准和测试陀螺仪加速度计等,精密转台,硬件模块扩展,active,2025-09-26
磁屏蔽箱,Magnetic Shield Box,Tool,测试设备,传感器;测试验证;工具,提供无磁或已知磁场的环境用于磁力计的校准和测试,磁场屏蔽室,硬件模块扩展,active,2025-09-26
标准光源箱,Standard Light Booth,Tool,测试设备,传感器;测试验证;工具,提供标准色温和照度的光源用于环境光传感器和色温传感器的测试,标准光源,硬件模块扩展,active,2025-09-26
传感器测试工程师,Sensor Test Engineer,Role,工程师,传感器;测试验证;组织职责,负责传感器测试方案的制定自动化测试开发和数据分析,传感器测试专员,硬件模块扩展,active,2025-09-26
传感器算法工程师,Sensor Algorithm Engineer,Role,工程师,传感器;软件相关;算法,负责传感器数据的滤波融合姿态解算等算法的开发和优化,传感器算法专家,硬件模块扩展,active,2025-09-26
