term,aliases,category,sub_category,tags,definition,example,source,status,updated_at
微弧氧化,等离子体电解氧化,Process,表面处理,制造工艺;CMF;可靠性,在铝镁钛等阀金属表面通过高压放电生成陶瓷化氧化层,微弧氧化工艺,硬件模块扩展,active,2025-09-26
原子层沉积,ALD,Process,薄膜工艺,制造工艺;半导体;可靠性,通过交替通入前驱体在基底表面逐层生长薄膜的技术,ALD工艺,硬件模块扩展,active,2025-09-26
化学机械抛光,CMP,Process,半导体工艺,制造工艺;半导体;可靠性,通过化学腐蚀和机械研磨实现全局平坦化的工艺,CMP抛光,硬件模块扩展,active,2025-09-26
深反应离子刻蚀,DRIE,Process,微加工工艺,制造工艺;半导体;MEMS,能够实现高深宽比侧壁陡直的三维微结构加工,DRIE刻蚀,硬件模块扩展,active,2025-09-26
晶圆级封装,WLP,Process,封装工艺,制造工艺;半导体;封装,在晶圆上完成芯片封装的大部分工序然后切割成单个器件,晶圆级封装,硬件模块扩展,active,2025-09-26
系统级封装,SiP,Process,封装工艺,制造工艺;半导体;封装,将多个不同功能的芯片和无源器件集成在一个封装内,系统级封装,硬件模块扩展,active,2025-09-26
扇出型封装,Fan-Out,Process,封装工艺,制造工艺;半导体;封装,芯片I/O端口通过再布线层引到芯片外部区域实现更高集成度,扇出封装,硬件模块扩展,active,2025-09-26
微机电系统,MEMS,Process,微加工工艺,制造工艺;传感器;硬件相关,利用微加工技术制造微型传感器执行器等器件,MEMS工艺,硬件模块扩展,active,2025-09-26
纳米压印,Nanoimprint Lithography,Process,光刻工艺,制造工艺;半导体;可靠性,通过机械模具复形实现纳米级图形转移的技术,纳米压印,硬件模块扩展,active,2025-09-26
激光退火,Laser Annealing,Process,热处理工艺,制造工艺;半导体;可靠性,利用激光瞬间高温完成半导体材料的退火处理,激光退火,硬件模块扩展,active,2025-09-26
选择性激光熔化,SLM,Process,3D打印工艺,制造工艺;结构相关;可靠性,3D打印技术的一种通过激光完全熔化金属粉末逐层成型,SLM打印,硬件模块扩展,active,2025-09-26
电子束蒸发,E-Beam Evaporation,Process,薄膜工艺,制造工艺;半导体;可靠性,利用电子束轰击加热蒸发材料在基底上沉积薄膜,电子束蒸发,硬件模块扩展,active,2025-09-26
磁控溅射,Magnetron Sputtering,Process,薄膜工艺,制造工艺;CMF;可靠性,利用磁场约束提高等离子体密度实现高速率高质量薄膜沉积,磁控溅射,硬件模块扩展,active,2025-09-26
电化学沉积,电镀,Process,表面处理,制造工艺;PCB;可靠性,通过电解原理在导体表面沉积金属镀层,电镀工艺,硬件模块扩展,active,2025-09-26
化学镀,无电镀,Process,表面处理,制造工艺;PCB;可靠性,通过自催化化学反应在材料表面沉积金属镀层,化学镀,硬件模块扩展,active,2025-09-26
热等静压,HIP,Process,热处理工艺,制造工艺;结构相关;可靠性,在高温高压惰性气体环境下对材料进行致密化处理,热等静压,硬件模块扩展,active,2025-09-26
粉末注射成型,PIM,Process,成型工艺,制造工艺;结构相关;可靠性,将金属或陶瓷粉末与粘结剂混合注射成型后脱脂烧结,粉末注射成型,硬件模块扩展,active,2025-09-26
超精密加工,超精加工,Process,精密加工,制造工艺;结构相关;可靠性,实现纳米级加工精度和表面粗糙度的加工技术,超精密加工,硬件模块扩展,active,2025-09-26
水导激光,Water Jet Guided Laser,Process,激光加工,制造工艺;结构相关;可靠性,利用细水束引导激光实现无热影响区的高精度加工,水导激光,硬件模块扩展,active,2025-09-26
飞秒激光加工,超快激光加工,Process,激光加工,制造工艺;结构相关;可靠性,利用超短脉冲激光进行高精度低热损伤的微加工,飞秒激光,硬件模块扩展,active,2025-09-26
冷喷涂,Cold Spray,Process,表面处理,制造工艺;结构相关;可靠性,利用高速气体加速粉末颗粒通过塑性变形沉积形成涂层,冷喷涂,硬件模块扩展,active,2025-09-26
原子扩散焊接,扩散焊,Process,焊接工艺,制造工艺;结构相关;可靠性,在高温压力下通过原子扩散实现材料间牢固连接,扩散焊,硬件模块扩展,active,2025-09-26
摩擦搅拌焊,FSW,Process,焊接工艺,制造工艺;结构相关;可靠性,通过高速旋转搅拌头与工件摩擦生热实现材料连接,摩擦搅拌焊,硬件模块扩展,active,2025-09-26
电子束焊接,EBW,Process,焊接工艺,制造工艺;结构相关;可靠性,利用高速电子束轰击工件产生热量实现焊接,电子束焊,硬件模块扩展,active,2025-09-26
激光熔覆,Laser Cladding,Process,表面处理,制造工艺;结构相关;可靠性,通过激光熔化添加材料在基体表面形成冶金结合涂层,激光熔覆,硬件模块扩展,active,2025-09-26
