术语,别名,类别,多标签,备注
8D报告,Eight Disciplines;8D方法,工具,质量体系;问题解决,系统化问题解决方法，包含8个步骤：组建团队、描述问题、临时措施、根因分析、永久对策、实施验证、预防措施、团队表彰
FMEA,失效模式与影响分析;Failure Mode and Effects Analysis,工具,质量体系;风险管理,预防性质量工具，用于识别潜在失效模式及其影响，制定预防措施
SPC,统计过程控制;Statistical Process Control,工具,质量体系;过程控制,使用统计方法监控和控制生产过程，确保过程稳定
MSA,测量系统分析;Measurement System Analysis,工具,质量体系;测量,评估测量系统的准确性、精密度、稳定性和线性
APQP,产品质量先期策划;Advanced Product Quality Planning,工具,质量体系;项目管理,产品开发质量规划方法，包含5个阶段
PPAP,生产件批准程序;Production Part Approval Process,工具,质量体系;供应商管理,新产品或工艺变更时的批准流程，需提交18项文件
控制计划,Control Plan,工具,质量体系;过程控制,描述过程控制方法的文件，包含特殊特性、控制方法、反应计划
检查表,Check Sheet;检验表,工具,质量体系;数据收集,系统化数据收集工具，用于记录缺陷、频次等
帕累托图,Pareto Chart;柏拉图,工具,质量体系;数据分析,识别关键问题的图表工具，基于80/20法则
鱼骨图,Fishbone Diagram;因果图;石川图,工具,质量体系;问题分析,分析问题根因的工具，从人机料法环5个维度分析
散点图,Scatter Diagram,工具,质量体系;数据分析,分析两个变量之间相关性的图表
直方图,Histogram,工具,质量体系;数据分析,显示数据分布的图表，用于判断过程能力
控制图,Control Chart,工具,质量体系;过程控制,监控过程稳定性的图表，包含上下控制限
分层法,Stratification,工具,质量体系;数据分析,将数据按不同类别分组分析的方法
