term,canonical_name,aliases,category,tags,description,source_file,created_at,updated_at
AQL,AQL,接收质量限;Acceptable Quality Level,工具,测试验证;质量体系,抽样检验的标准，用于来料或出货检验时判定批合格与否。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
CABC,CABC,内容自适应背光控制;Content Adaptive Backlight Control,软件相关,影像相关;功耗优化,根据显示内容自动调节背光以节省功耗，算法不良会导致屏幕闪烁或亮度异常。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
CCD视觉对位,CCD视觉对位,相机对位;CCD Alignment,制造工艺,摄像头模组;SMT,在贴片或模组组装中，使用工业相机进行高精度位置校准的工艺。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
Corner Drop,Corner Drop,角跌落,测试验证,可靠性;结构相关,手机特定角落着地的跌落测试，用于评估结构最脆弱点的强度。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
CPK,CPK,过程能力指数;Process Capability Index,工具,制造工艺;质量体系,衡量生产过程稳定满足规格要求的能力，大于1.33表示过程能力良好。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
DQA,DQA,设计质量保证;Design Quality Assurance,组织职责,流程相关;项目相关,在研发阶段介入，确保产品设计满足可靠性、可制造性等质量要求的角色。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
Drop Test,Drop Test,跌落测试,测试验证,可靠性;结构相关,模拟手机意外跌落场景，验证整机结构强度、屏幕和电池等部件的可靠性。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
DSU,DSU,动态软件更新;Dynamic System Updates,软件相关,项目相关;工具,Android项目在运行时切换系统镜像的技术，用于软件调试与测试。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
ESD,ESD,静电放电;Electro-Static Discharge,测试验证,硬件相关;可靠性,测试手机抵御静电冲击的能力，不合格会导致芯片击穿或功能异常。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
FACA,FACA,最终审核纠正措施;Final Audit Corrective Action,流程相关,质量体系;项目相关,在项目量产前，针对开箱审计发现的问题进行闭环管理的流程。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
HALT,HALT,高加速寿命测试;Highly Accelerated Life Test,测试验证,可靠性;研发,通过施加高应力快速激发产品潜在缺陷的测试方法，用于设计阶段。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
IQC,IQC,来料检验;Incoming Quality Control,流程相关,制造工艺;质量体系,对供应商送达的物料进行检验，确保投入生产的物料符合标准。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
MTBF,MTBF,平均无故障时间;Mean Time Between Failures,工具,可靠性;性能指标,衡量产品可靠性的关键预测指标，通常通过可靠性试验数据计算得出。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
PMP,PMP,项目管理计划;Project Management Plan,项目相关,流程相关;组织职责,项目开展的总体指导文件，包含范围、进度、质量、风险等管理计划。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
PVT,PVT,生产验证测试;Production Validation Test,项目相关,测试验证;制造工艺,在量产初期进行的测试，验证生产线能否稳定地生产出合格产品。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
SMT,SMT,表面贴装技术;Surface Mount Technology,制造工艺,硬件相关;PCB,将电子元器件贴装到PCB上的核心工艺，涉及锡膏印刷、贴片、回流焊。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
UV胶,UV胶,紫外线固化胶;Ultraviolet Glue,制造工艺,结构相关;粘合剂,用于固定镜头、装饰件等，固化不良会导致脱落或溢胶。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
Vendor,Vendor,供应商;Supplier,组织职责,流程相关;项目相关,提供手机零部件或服务的厂商，其质量能力直接影响整机质量。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
点胶,点胶,打胶;Underfill,制造工艺,结构相关;工艺参数,在芯片底部填充胶水以增强机械强度和耐热性，胶量、路径是关键参数。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
点屏,点屏,屏幕点亮;Screen Lighting,测试验证,制造工艺;显示相关,在组装过程中对显示屏进行通电，初步检查显示功能是否正常。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
点压,点压,按压测试;Press Test,测试验证,人机交互;可靠性,对手机按键、屏幕等进行反复按压，测试其机械耐久性。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
钝化,钝化,钝化层;Passivation,制造工艺,硬件相关;PCB,在芯片或PCB表面形成保护层，防止腐蚀和短路，损伤会导致可靠性问题。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
多标签,多标签,标签;Tag,工具,项目相关;软件相关,用于对问题、物料或知识进行分类和标记的元数据，便于筛选和管理。,manual_import,2025-09-25T10:24:30.842043,2025-09-25T10:24:30.842043
防呆,防呆,防错;Poka-Yoke,制造工艺,质量体系;工具,设计一种装置或方法，防止操作员出现错误，是提升直通率的关键。,manual_append,2025-09-25T11:05:20.435321,2025-09-25T11:05:20.435321
分板,分板,板边切割;Board Cutting,制造工艺,PCB;工艺参数,将拼板后的PCB分割成单板，方式不当会导致板边毛刺、裂纹或应力损伤。,manual_append,2025-09-25T11:05:20.435321,2025-09-25T11:05:20.435321
风枪,风枪,热风枪;Hot Air Gun,工具,维修;SMT,用于维修时加热焊料或拆焊元件的工具，温度和控制精度是关键。,manual_append,2025-09-25T11:05:20.435321,2025-09-25T11:05:20.435321
工装,工装,夹具;治具;Fixture,工具,制造工艺;测试验证,在生产或测试中用于定位和固定产品的装置，其精度直接影响产品一致性。,manual_append,2025-09-25T11:05:20.435321,2025-09-25T11:05:20.435321
固件,固件,Firmware,软件相关,部件;功能,写入硬件设备的底层软件，如摄像头固件，版本错误或损坏会导致功能异常。,manual_append,2025-09-25T11:05:20.435321,2025-09-25T11:05:20.435321
挂机,挂机,待机;Standby,测试验证,软件相关;可靠性,手机在休眠状态下长时间运行，用于测试待机功耗和系统稳定性。,manual_append,2025-09-25T11:05:20.435321,2025-09-25T11:05:20.435321
过炉,过炉,回流焊;Reflow Soldering,制造工艺,SMT;工艺参数,SMT关键工序，通过加热使锡膏熔化连接元件，温度曲线设置至关重要。,manual_append,2025-09-25T11:05:20.435321,2025-09-25T11:05:20.435321
焊锡,焊锡,锡膏;Solder Paste,制造工艺,物料;SMT,用于焊接的合金材料，其成分、颗粒度和活性影响焊接质量。,manual_append,2025-09-25T11:05:20.435321,2025-09-25T11:05:20.435321
合盖,合盖,闭合状态;Closed State,测试验证,结构相关;可靠性,针对折叠屏手机，测试在闭合状态下的机构稳定性、缝隙和压力。,manual_append,2025-09-25T11:08:06.067480,2025-09-25T11:08:06.067480
烘烤,烘烤,低温烘烤;Baking,制造工艺,PCB;工艺参数,对受潮的PCB或元件进行烘干，去除湿气，防止回流焊时出现爆米花现象。,manual_append,2025-09-25T11:08:06.067480,2025-09-25T11:08:06.067480
红胶,红胶,红色胶水;Red Adhesive,制造工艺,物料;SMT,一种用于波峰焊前暂时固定元件的胶水，点胶量和固化程度是关键。,manual_append,2025-09-25T11:08:06.067480,2025-09-25T11:08:06.067480
环测,环测,环境测试;Environmental Test,测试验证,可靠性,将手机置于高低温、湿热、振动等模拟环境中，验证其适应能力。,manual_append,2025-09-25T11:08:06.067480,2025-09-25T11:08:06.067480
灰阶,灰阶,灰度等级;Gray Scale,显示相关,性能指标;影像相关,表示屏幕从黑到白的亮度层次，层次越多，显示效果越细腻。,manual_append,2025-09-25T11:08:06.067480,2025-09-25T11:08:06.067480
回流焊,回流焊,再流焊;Reflow,制造工艺,SMT;工艺参数,通过加热使预涂的锡膏熔化，实现元器件与PCB焊盘连接的工艺。,manual_append,2025-09-25T11:08:06.067480,2025-09-25T11:08:06.067480
激活,激活,电池激活;Battery Activation,制造工艺,硬件相关;工艺参数,新电池首次充电的特定流程，以稳定其化学性能，但现在多数锂电已不需要。,manual_append,2025-09-25T11:08:06.067480,2025-09-25T11:08:06.067480
机模,机模,手机模型;Dummy Model,工具,项目相关;结构相关,无功能的手机外观模型，用于早期结构验证、外观评估和营销展示。,manual_append,2025-09-25T11:08:06.067480,2025-09-25T11:08:06.067480
激光,激光,激光焊接;Laser Welding,制造工艺,工艺参数;结构相关,使用激光能量进行精密焊接，常用于电池盖、内部结构件，热影响区小。,manual_append,2025-09-25T11:08:06.067480,2025-09-25T11:08:06.067480
夹持,夹持,夹具夹紧;Clamping,制造工艺,工艺参数;工装,治具对产品的固定力，过小导致位移，过大可能导致产品变形或压伤。,manual_append,2025-09-25T11:08:06.067480,2025-09-25T11:08:06.067480
检具,检具,检验治具;Checking Fixture,工具,测试验证;质量体系,专门用于快速检测产品尺寸或装配效果的工装，提升检验效率和一致性。,manual_append,2025-09-25T11:08:06.067480,2025-09-25T11:08:06.067480
胶厚,胶厚,胶水厚度;Adhesive Thickness,制造工艺,工艺参数;结构相关,点胶或贴合的胶层厚度，影响粘接强度和密封性能。,manual_append,2025-09-25T11:08:06.067480,2025-09-25T11:08:06.067480
胶量,胶量,点胶量;Dispensing Volume,制造工艺,工艺参数,点胶机每次挤出的胶水体积，是影响粘接效果的关键参数。,manual_append,2025-09-25T11:08:06.067480,2025-09-25T11:08:06.067480
角胶,角胶,角落补强胶;Corner Reinforcement,制造工艺,结构相关;工艺参数,在结构件角落点胶以增强局部强度，常用于应对跌落应力。,manual_append,2025-09-25T11:08:06.067480,2025-09-25T11:08:06.067480
校屏,校屏,屏幕校准;Screen Calibration,测试验证,制造工艺;显示相关,对显示屏的色温、Gamma、均匀性等进行软件校准，保证显示一致性。,manual_append_batch3,2025-09-25T11:09:26.173292,2025-09-25T11:09:26.173292
解锁,解锁,屏幕解锁;Unlock,测试验证,软件相关;人机交互,测试指纹、人脸、图案等解锁方式的成功率和速度。,manual_append_batch3,2025-09-25T11:09:26.173292,2025-09-25T11:09:26.173292
