术语,别名,类别,多标签,备注
AQL,接收质量限;Acceptable Quality Level,工具,测试验证;质量体系,抽样检验的标准，用于来料或出货检验时判定批合格与否。
BTB连接器,板对板连接器;Board-to-Board Connector,硬件相关,部件;电气连接,连接主板与副板、显示模组等的重要元件，易出现接触不良、虚焊等故障。
CABC,内容自适应背光控制;Content Adaptive Backlight Control,软件相关,影像相关;功耗优化,根据显示内容自动调节背光以节省功耗，算法不良会导致屏幕闪烁或亮度异常。
CCD视觉对位,相机对位;CCD Alignment,制造工艺,摄像头模组;SMT,在贴片或模组组装中，使用工业相机进行高精度位置校准的工艺。
CMF,颜色、材料、表面处理;Color Material Finishing,结构相关,设计;外观,决定手机外观质感的关键，涉及喷涂、阳极氧化、镀膜等工艺。
Corner Drop,角跌落,测试验证,可靠性;结构相关,手机特定角落着地的跌落测试，用于评估结构最脆弱点的强度。
CPK,过程能力指数;Process Capability Index,工具,制造工艺;质量体系,衡量生产过程稳定满足规格要求的能力，大于1.33表示过程能力良好。
DQA,设计质量保证;Design Quality Assurance,组织职责,流程相关;项目相关,在研发阶段介入，确保产品设计满足可靠性、可制造性等质量要求的角色。
Dome片,按键弹片;Metal Dome,硬件相关,部件;人机交互,提供按键手感的关键金属件，失效会导致按键无反应或手感差。
Drop Test,跌落测试,测试验证,可靠性;结构相关,模拟手机意外跌落场景，验证整机结构强度、屏幕和电池等部件的可靠性。
DSU,动态软件更新;Dynamic System Updates,软件相关,项目相关;工具,Android项目在运行时切换系统镜像的技术，用于软件调试与测试。
ESD,静电放电;Electro-Static Discharge,测试验证,硬件相关;可靠性,测试手机抵御静电冲击的能力，不合格会导致芯片击穿或功能异常。
FACA,最终审核纠正措施;Final Audit Corrective Action,流程相关,质量体系;项目相关,在项目量产前，针对开箱审计发现的问题进行闭环管理的流程。
FPC,柔性电路板;Flexible Printed Circuit,硬件相关,部件;电气连接,用于连接空间受限的部件，如摄像头、显示屏，易发生弯折断裂。
FPS,帧率;Frames Per Second,影像相关,性能指标;软件相关,衡量界面或游戏流畅度的关键指标，帧率过低会导致卡顿。
Gap,间隙;面差,结构相关,外观;装配,指手机外壳部件之间的间隙和高度差，是衡量装配精度和美观度的重要指标。
HALT,高加速寿命测试;Highly Accelerated Life Test,测试验证,可靠性;研发,通过施加高应力快速激发产品潜在缺陷的测试方法，用于设计阶段。
Hotspot,热点;局部过热,异常现象,硬件相关;可靠性,手机特定区域（如SoC、充电芯片）温度过高，影响用户体验和安全。
IQC,来料检验;Incoming Quality Control,流程相关,制造工艺;质量体系,对供应商送达的物料进行检验，确保投入生产的物料符合标准。
Lens,镜片;Camera Lens,摄像头模组,部件;影像相关,摄像头的光学镜片，有脏污、划伤、镀膜脱落等不良现象。
LRA,线性谐振执行器;Linear Resonant Actuator,硬件相关,部件;人机交互,提供振动反馈的马达，失效或性能不佳会导致振动弱、异响。
MTBF,平均无故障时间;Mean Time Between Failures,工具,可靠性;性能指标,衡量产品可靠性的关键预测指标，通常通过可靠性试验数据计算得出。
OIS,光学防抖;Optical Image Stabilization,摄像头模组,功能;影像相关,通过镜组或传感器移动补偿手抖，模块不良会导致拍照模糊或异响。
PMP,项目管理计划;Project Management Plan,项目相关,流程相关;组织职责,项目开展的总体指导文件，包含范围、进度、质量、风险等管理计划。
PVT,生产验证测试;Production Validation Test,项目相关,测试验证;制造工艺,在量产初期进行的测试，验证生产线能否稳定地生产出合格产品。
SMT,表面贴装技术;Surface Mount Technology,制造工艺,硬件相关;PCB,将电子元器件贴装到PCB上的核心工艺，涉及锡膏印刷、贴片、回流焊。
SPK,扬声器;Speaker,硬件相关,部件;声学,负责声音外放，常见不良有杂音、破音、无声。
TP,触摸屏;Touch Panel,硬件相关,部件;人机交互,负责触控功能，常见故障有失灵、乱点、划线不良。
UV胶,紫外线固化胶;Ultraviolet Glue,制造工艺,结构相关;粘合剂,用于固定镜头、装饰件等，固化不良会导致脱落或溢胶。
Vendor,供应商;Supplier,组织职责,流程相关;项目相关,提供手机零部件或服务的厂商，其质量能力直接影响整机质量。
WLAN,无线局域网;Wireless LAN,硬件相关,功能;性能指标,手机Wi-Fi功能，常见问题有连接失败、速率慢、断流。
