term,canonical_name,aliases,category,tags,description,source_file,created_at,updated_at
BTB连接器,BTB连接器,板对板连接器;Board-to-Board Connector,硬件相关,部件;电气连接,连接主板与副板、显示模组等的重要元件，易出现接触不良、虚焊等故障。,manual_import,2025-09-25T10:24:30.839959,2025-09-25T10:24:30.839959
CMF,CMF,"颜色、材料、表面处理;Color,Material,Finishing",结构相关,设计;外观,决定手机外观质感的关键，涉及喷涂、阳极氧化、镀膜等工艺。,manual_import,2025-09-25T10:24:30.839959,2025-09-25T10:24:30.839959
Dome片,Dome片,按键弹片;Metal Dome,硬件相关,部件;人机交互,提供按键手感的关键金属件，失效会导致按键无反应或手感差。,manual_import,2025-09-25T10:24:30.839959,2025-09-25T10:24:30.839959
FPC,FPC,柔性电路板;Flexible Printed Circuit,硬件相关,部件;电气连接,用于连接空间受限的部件，如摄像头、显示屏，易发生弯折断裂。,manual_import,2025-09-25T10:24:30.839959,2025-09-25T10:24:30.839959
FPS,FPS,帧率;Frames Per Second,影像相关,性能指标;软件相关,衡量界面或游戏流畅度的关键指标，帧率过低会导致卡顿。,manual_import,2025-09-25T10:24:30.839959,2025-09-25T10:24:30.839959
Gap,Gap,间隙;面差,结构相关,外观;装配,指手机外壳部件之间的间隙和高度差，是衡量装配精度和美观度的重要指标。,manual_import,2025-09-25T10:24:30.839959,2025-09-25T10:24:30.839959
Lens,Lens,镜片;Camera Lens,摄像头模组,部件;影像相关,摄像头的光学镜片，有脏污、划伤、镀膜脱落等不良现象。,manual_import,2025-09-25T10:24:30.839959,2025-09-25T10:24:30.839959
LRA,LRA,线性谐振执行器;Linear Resonant Actuator,硬件相关,部件;人机交互,提供振动反馈的马达，失效或性能不佳会导致振动弱、异响。,manual_import,2025-09-25T10:24:30.839959,2025-09-25T10:24:30.839959
OIS,OIS,光学防抖;Optical Image Stabilization,摄像头模组,功能;影像相关,通过镜组或传感器移动补偿手抖，模块不良会导致拍照模糊或异响。,manual_import,2025-09-25T10:24:30.839959,2025-09-25T10:24:30.839959
SPK,SPK,扬声器;Speaker,硬件相关,部件;声学,负责声音外放，常见不良有杂音、破音、无声。,manual_import,2025-09-25T10:24:30.839959,2025-09-25T10:24:30.839959
TP,TP,触摸屏;Touch Panel,硬件相关,部件;人机交互,负责触控功能，常见故障有失灵、乱点、划线不良。,manual_import,2025-09-25T10:24:30.839959,2025-09-25T10:24:30.839959
WLAN,WLAN,无线局域网;Wireless LAN,硬件相关,功能;性能指标,手机Wi-Fi功能，常见问题有连接失败、速率慢、断流。,manual_import,2025-09-25T10:24:30.839959,2025-09-25T10:24:30.839959
包材,包材,包装材料;Packaging Material,结构相关,物料;外观,指手机零售包装盒、内托等，破损、污渍会影响开箱体验。,manual_import,2025-09-25T10:24:30.839959,2025-09-25T10:24:30.839959
