term,aliases,category,tags,note,source,version
BTB连接器,Board-to-Board Connector;板对板连接器,Component,电气连接;硬件相关;结构相关;部件,连接主板与副板、显示模组等的重要元件，易出现接触不良、虚焊等故障。,dictionary_v1,2025-09-28
CMF,Finishing;Color;材料;颜色;表面处理;Color Material Finishing;Material,Component,外观;设计,决定手机外观质感的关键，涉及喷涂、阳极氧化、镀膜等工艺。,dictionary_v1,2025-09-28
Dome片,Metal Dome;按键弹片,Component,人机交互;部件,提供按键手感的关键金属件，失效会导致按键无反应或手感差。,dictionary_v1,2025-09-28
FPC,Flexible Printed Circuit;柔性电路板,Component,电气连接;硬件相关;结构相关;部件,用于连接空间受限的部件，如摄像头、显示屏，易发生弯折断裂。,dictionary_v1,2025-09-28
FPS,Frames Per Second;帧率,Component,性能指标;软件相关,衡量界面或游戏流畅度的关键指标，帧率过低会导致卡顿。,dictionary_v1,2025-09-28
Gap,面差;间隙,Component,外观;装配,指手机外壳部件之间的间隙和高度差，是衡量装配精度和美观度的重要指标。,dictionary_v1,2025-09-28
Lens,Camera Lens;镜片,Component,影像相关;部件,摄像头的光学镜片，有脏污、划伤、镀膜脱落等不良现象。,dictionary_v1,2025-09-28
LRA,Linear Resonant Actuator;线性谐振执行器,Component,人机交互;部件,提供振动反馈的马达，失效或性能不佳会导致振动弱、异响。,dictionary_v1,2025-09-28
OIS,Optical Image Stabilization;光学防抖,Component,功能;影像相关,通过镜组或传感器移动补偿手抖，模块不良会导致拍照模糊或异响。,dictionary_v1,2025-09-28
SPK,Speaker;扬声器,Component,声学;部件,负责声音外放，常见不良有杂音、破音、无声。,dictionary_v1,2025-09-28
TP,触摸屏;Touch Panel,Component,人机交互;部件,负责触控功能，常见故障有失灵、乱点、划线不良。,dictionary_v1,2025-09-28
WLAN,Wireless LAN;无线局域网,Component,功能;性能指标,手机Wi-Fi功能，常见问题有连接失败、速率慢、断流。,dictionary_v1,2025-09-28
包材,Packaging Material;包装材料,Component,外观;物料,指手机零售包装盒、内托等，破损、污渍会影响开箱体验。,dictionary_v1,2025-09-28
背光,Backlight;背光模组,Component,显示相关;部件,为LCD屏幕提供光源的组件，常见不良有亮度不均、漏光、mura（斑驳）。,dictionary_v1,2025-09-28
边框,中框;Middle Frame,Component,外观;部件,手机的骨架结构，用于固定内部元件，变形或腐蚀会影响整机强度和气密性。,dictionary_v1,2025-09-28
充电口,Type-C Port;USB-C接口,Component,电气连接;部件,负责充电和数据传输，常见不良有端口松动、腐蚀、连接不稳定。,dictionary_v1,2025-09-28
触点,金手指;Contact Pin,Component,电气连接;部件,电池、屏幕等模块上与主板连接的导电触点，氧化或污染会导致接触不良。,dictionary_v1,2025-09-28
电芯,Battery Cell;电池芯,Component,安全相关;硬件相关;部件,电池的核心储能部件，其质量直接决定电池的容量、寿命和安全性。,dictionary_v1,2025-09-28
飞线,跳线;Jumper Wire,Component,PCB;部件,在PCB上用于临时或永久修复电路连接的导线，影响可靠性和美观。,dictionary_v1,2025-09-28
盖板,Cover Glass;玻璃盖板,Component,外观;部件,保护屏幕和装饰的前盖玻璃，要求高硬度、抗冲击和良好的光学性能。,dictionary_v1,2025-09-28
高光,镜面效果;High-Gloss,Component,CMF;外观,通过高精度加工得到的镜面般的光泽效果，易出现划伤、橘皮等不良。,dictionary_v1,2025-09-28
隔磁片,磁性屏蔽片;Magnetic Shielding Sheet,Component,EMC;部件,贴在器件上防止磁场干扰的薄片，粘贴不良或破损会影响无线充电或传感器性能。,dictionary_v1,2025-09-28
公差,Tolerance;尺寸公差,Component,工艺参数;设计,允许的尺寸变动范围，合理的公差设计是保证装配性和功能的关键。,dictionary_v1,2025-09-28
公母座,Connector Pair;插头与插座,Component,电气连接;部件,配对的连接器，如USB公座和母座，存在插拔力不良、寿命不足等风险。,dictionary_v1,2025-09-28
功耗,功率消耗;Power Consumption,Metric,硬件相关;软件相关,手机工作时的电能消耗，是衡量续航能力的关键，异常功耗需重点分析。,dictionary_v1,2025-09-28
光感,Ambient Light Sensor;环境光传感器,Component,传感器;部件,用于自动调节屏幕亮度，被遮挡或失效会导致屏幕亮度调节失常。,dictionary_v1,2025-09-28
滚轴,Hinge;铰链,Component,可靠性;部件,折叠屏手机的关键部件，负责屏幕弯折，对疲劳寿命和顺滑度要求极高。,dictionary_v1,2025-09-28
过孔,导通孔;Via,Component,PCB;工艺参数,PCB上用于连接不同层电路的孔，孔铜不良会导致开路或可靠性问题。,dictionary_v1,2025-09-28
焊盘,焊点;Pad,Component,PCB;SMT,PCB上用于焊接元件的金属区域，氧化或污染会导致上锡不良、虚焊。,dictionary_v1,2025-09-28
基带,Baseband,Component,通信相关;部件,负责移动网络信号处理的芯片组，其软件和硬件故障会导致无服务、通话中断。,dictionary_v1,2025-09-28
基板,Substrate;衬底,Component,PCB;部件,承载芯片和电路的基底材料，如陶瓷基板、BT基板等。,dictionary_v1,2025-09-28
极耳,电池极耳;Battery Tab,Component,安全相关;部件,电芯正负极引出的金属带，焊接不良或折断会导致电池无法充电或工作。,dictionary_v1,2025-09-28
铰链,Hinge;转轴,Component,可靠性;部件,折叠屏手机的核心机构，要求高寿命、顺滑度和稳定性。,dictionary_v1,2025-09-28
接地点,Grounding Point;接地位置,Component,EMC;PCB,PCB上用于连接参考电位的点，设计不良会导致EMC问题或信号干扰。,dictionary_v1,2025-09-28
金线,Bonding Wire;键合线,Component,封装;部件,芯片封装内部连接芯片焊盘和引线框架的细金属线，断裂会导致开路。,dictionary_v1,2025-09-28
晶振,Crystal Oscillator;晶体振荡器,Component,时钟;部件,提供系统基准时钟信号的元件，失效会导致手机无法开机或功能紊乱。,dictionary_v1,2025-09-28
镜座,镜头座;Lens Holder,Component,影像相关;摄像头模组;结构相关;部件,固定摄像头镜头的结构件，其加工精度和稳定性直接影响成像质量。,dictionary_v1,2025-09-28
卡托,SIM卡托;SIM Card Tray,Component,外观;部件,承载SIM卡和内存卡的可拆卸部件，存在装配不顺、易脱落等风险。,dictionary_v1,2025-09-28
拉拔力,Insertion/Extraction Force;插拔力,Metric,可靠性;硬件相关,将连接器插入或拔出的力，过小导致接触不良，过大会影响用户体验和寿命。,dictionary_v1,2025-09-28
良率,yield,Metric,制造工艺;质量体系,合格品数量与生产总数量的比率，是衡量制造水平的核心指标。,dictionary_v1,2025-09-28
马鞍,中框马鞍区;Middle Frame Saddle,Component,设计;部件,手机中框两侧收窄的区域，是结构强度和信号设计的重点区域。,dictionary_v1,2025-09-28
盲孔,Blind Via;盲埋孔,Component,PCB;设计,仅连接PCB外层和内层，但不穿透整个板的导通孔，用于高密度布线。,dictionary_v1,2025-09-28
门限,阈值;Threshold,Metric,测试验证;软件相关,触发某种动作或判断合格与否的临界值，如功耗门限、信号强度门限。,dictionary_v1,2025-09-28
密封圈,密封胶圈;Sealing Ring,Component,可靠性;部件,用于防水设计的橡胶或硅胶圈，其压缩量和弹性决定密封效果。,dictionary_v1,2025-09-28
