term,aliases,category,sub_category,tags,definition,example,source,status,updated_at
印刷电路板,PCB,Component,电路板,硬件相关;设计,承载和连接电子元件的基板,手机主板PCB,硬件模块扩展,active,2025-09-26
主芯片,SoC;系统级芯片,Component,芯片,硬件相关;半导体;设计,集成CPU GPU Modem等核心功能的芯片,手机处理器芯片,硬件模块扩展,active,2025-09-26
内存,RAM,Component,存储器,硬件相关;半导体,运行内存用于临时存储运行的程序和数据,手机运行内存,硬件模块扩展,active,2025-09-26
闪存,Flash;ROM,Component,存储器,硬件相关;半导体,存储空间用于存放系统应用和用户数据,手机存储芯片,硬件模块扩展,active,2025-09-26
射频功放,PA,Component,射频器件,硬件相关;射频相关,放大要发射的射频信号的功率放大器,手机射频功放,硬件模块扩展,active,2025-09-26
电源管理芯片,PMIC,Component,电源芯片,硬件相关;电气性能,管理整机的电源分配充电和功耗的芯片,电源管理IC,硬件模块扩展,active,2025-09-26
PCB板材,Laminate,Material,基板材料,物料;PCB,制造PCB的基板材料如FR-4高频板材,PCB基材,硬件模块扩展,active,2025-09-26
阻焊油墨,Solder Mask,Material,油墨,物料;PCB,覆盖在铜箔上起绝缘和保护作用的绿色或其他颜色的油墨,PCB阻焊层,硬件模块扩展,active,2025-09-26
虚焊,Cold Solder Joint,Symptom,焊接缺陷,SMT;制造工艺;异常现象,焊点看似连接实则电气连接不可靠的缺陷,焊点虚接,硬件模块扩展,active,2025-09-26
短路,Short Circuit,Symptom,电气故障,硬件相关;电气性能;异常现象,电流不经过负载直接形成回路的故障,电路短路故障,硬件模块扩展,active,2025-09-26
开路,Open Circuit,Symptom,电气故障,硬件相关;电气性能;异常现象,电路断开电流无法通过的故障,电路断路故障,硬件模块扩展,active,2025-09-26
元器件立碑,Tombstoning,Symptom,贴装缺陷,SMT;制造工艺;异常现象,片式元件一端翘起脱离焊盘的贴装缺陷,元件立碑现象,硬件模块扩展,active,2025-09-26
信号完整性,SI,Metric,,硬件相关;设计;电气性能,信号在传输路径上的质量涉及波形时序等,信号质量分析,硬件模块扩展,active,2025-09-26
电源完整性,PI,Metric,,硬件相关;设计;电气性能,供给芯片的电源电压稳定纯净的程度,电源质量分析,硬件模块扩展,active,2025-09-26
电磁兼容性,EMC,Metric,,硬件相关;设计;测试验证,设备在其电磁环境中能正常工作且不对其他设备构成干扰的能力,电磁兼容测试,硬件模块扩展,active,2025-09-26
表面贴装技术,SMT,Process,贴装工艺,制造工艺;SMT;硬件相关,将元件贴装到PCB表面的工艺技术,SMT贴片工艺,硬件模块扩展,active,2025-09-26
回流焊,Reflow Soldering,Process,焊接工艺,制造工艺;SMT;工艺参数,通过加热使锡膏熔化实现元件焊接的工艺,回流焊接工艺,硬件模块扩展,active,2025-09-26
在线测试,ICT,TestCase,电气测试,测试验证;硬件相关;制造工艺,通过针床对组装好的PCB进行自动化电气性能测试,ICT电气测试,硬件模块扩展,active,2025-09-26
功能测试,FCT,TestCase,功能测试,测试验证;硬件相关;软件相关,模拟整机工作条件测试产品各项功能是否正常,FCT功能测试,硬件模块扩展,active,2025-09-26
示波器,Oscilloscope,Tool,测试仪器,测试验证;电气性能;工具,观察电信号波形随时间变化的仪器,信号波形测量,硬件模块扩展,active,2025-09-26
矢量网络分析仪,VNA,Tool,射频仪器,测试验证;射频相关;工具,测量射频元器件和电路网络参数的精密仪器,射频参数测试,硬件模块扩展,active,2025-09-26
硬件测试工程师,Hardware Test Engineer,Role,测试工程师,测试验证;硬件相关;组织职责,负责制定硬件测试方案执行测试并分析问题的工程师,硬件测试专员,硬件模块扩展,active,2025-09-26
PCB布局工程师,PCB Layout Engineer,Role,设计工程师,设计;硬件相关;组织职责,负责根据原理图进行PCB的元器件布局和走线设计的工程师,PCB设计工程师,硬件模块扩展,active,2025-09-26
