term,canonical_name,aliases,category,description
硬件故障,硬件故障,硬件损坏;Hardware Failure;物理故障;硬件缺陷,硬件问题,硬件组件损坏或失效导致的问题
软件缺陷,软件缺陷,软件Bug;Software Bug;程序错误;代码缺陷,软件问题,程序代码存在错误或漏洞导致的问题
设计缺陷,设计缺陷,设计问题;Design Flaw;设计不当;架构缺陷,设计问题,产品设计不合理或存在缺陷
制造工艺,制造工艺,生产工艺;Manufacturing Process;工艺问题,制造问题,生产制造过程中的工艺问题
材料问题,材料问题,原材料缺陷;Material Issue;材料质量,材料问题,使用的原材料存在质量问题
供应商问题,供应商问题,供应商质量;Supplier Issue;外包问题,供应链问题,供应商提供的组件或服务存在问题
环境因素,环境因素,外部环境;Environmental Factor;使用环境,环境问题,外部环境条件对产品造成的影响
用户操作,用户操作,使用不当;User Operation;操作错误,使用问题,用户不当操作或使用方式导致的问题
老化磨损,老化磨损,自然老化;Aging;磨损;使用寿命,老化问题,产品长期使用导致的自然老化或磨损
电源问题,电源问题,供电异常;Power Issue;电压问题,电源问题,电源供应或电压不稳定导致的问题
温度异常,温度异常,过热;过冷;Temperature Issue,环境问题,温度过高或过低对产品造成的影响
湿度异常,湿度异常,潮湿;干燥;Humidity Issue,环境问题,湿度过高或过低对产品造成的影响
振动冲击,振动冲击,机械冲击;Vibration;跌落,物理损伤,外部振动或冲击对产品造成的物理损伤
静电干扰,静电干扰,ESD;静电放电;Electrostatic Discharge,电气问题,静电放电对电子组件造成的损伤
电磁干扰,电磁干扰,EMI;电磁兼容;Electromagnetic Interference,电气问题,电磁干扰对产品正常工作的影响
接触不良,接触不良,连接松动;Contact Issue;接触问题,连接问题,电气连接接触不良或松动
焊接问题,焊接问题,虚焊;冷焊;Soldering Issue,制造问题,焊接工艺不当导致的连接问题
组装问题,组装问题,装配不当;Assembly Issue;组装错误,制造问题,产品组装过程中的问题
测试不充分,测试不充分,测试遗漏;Insufficient Testing;测试覆盖不足,质量问题,产品测试不够充分导致问题遗漏
质量控制,质量控制,QC问题;Quality Control;质检问题,质量问题,质量控制流程存在问题
配置错误,配置错误,参数设置;Configuration Error;设置问题,配置问题,系统或软件配置参数错误
兼容性问题,兼容性问题,不兼容;Compatibility Issue;适配问题,兼容问题,不同组件或系统之间的兼容性问题
版本问题,版本问题,版本冲突;Version Issue;版本不匹配,版本问题,不同版本之间的兼容性或功能问题
驱动问题,驱动问题,驱动异常;Driver Issue;驱动缺失,软件问题,设备驱动程序存在问题
固件问题,固件问题,固件Bug;Firmware Issue;固件异常,软件问题,设备固件存在缺陷或问题
系统资源,系统资源,资源不足;Resource Issue;内存不足,性能问题,系统资源不足导致的性能问题
网络问题,网络问题,网络异常;Network Issue;连接问题,网络问题,网络连接或传输存在问题
安全问题,安全问题,安全漏洞;Security Issue;安全缺陷,安全问题,产品存在安全漏洞或缺陷
数据损坏,数据损坏,数据丢失;Data Corruption;文件损坏,数据问题,数据文件损坏或丢失
存储问题,存储问题,存储异常;Storage Issue;磁盘问题,存储问题,存储设备或存储系统存在问题
内存问题,内存问题,内存异常;Memory Issue;RAM问题,硬件问题,内存硬件或管理存在问题
处理器问题,处理器问题,CPU异常;Processor Issue;芯片问题,硬件问题,处理器硬件存在问题
传感器问题,传感器问题,传感器异常;Sensor Issue;检测异常,硬件问题,传感器硬件或校准存在问题
显示问题,显示问题,屏幕异常;Display Issue;显示异常,硬件问题,显示屏或显示系统存在问题
音频问题,音频问题,声音异常;Audio Issue;音频异常,硬件问题,音频硬件或系统存在问题
电池问题,电池问题,电池异常;Battery Issue;电源异常,硬件问题,电池硬件或管理系统存在问题
充电问题,充电问题,充电异常;Charging Issue;充电故障,硬件问题,充电系统或充电器存在问题
散热问题,散热问题,散热不良;Thermal Issue;散热异常,设计问题,散热设计或散热系统存在问题
结构问题,结构问题,机械结构;Structural Issue;结构设计,设计问题,产品机械结构设计存在问题
密封问题,密封问题,防水异常;Sealing Issue;密封不良,设计问题,产品密封设计或工艺存在问题
接口问题,接口问题,连接器异常;Interface Issue;接口设计,设计问题,产品接口设计或实现存在问题
天线问题,天线问题,信号异常;Antenna Issue;天线设计,硬件问题,天线设计或安装存在问题
屏蔽问题,屏蔽问题,EMI屏蔽;Shielding Issue;电磁屏蔽,设计问题,电磁屏蔽设计或实现存在问题
接地问题,接地问题,地线异常;Grounding Issue;接地不良,电气问题,电气接地设计或实现存在问题
时序问题,时序问题,时钟异常;Timing Issue;同步问题,设计问题,系统时序设计或同步存在问题
协议问题,协议问题,通信协议;Protocol Issue;协议异常,软件问题,通信协议实现或兼容性存在问题
算法问题,算法问题,算法缺陷;Algorithm Issue;算法异常,软件问题,算法设计或实现存在问题
逻辑问题,逻辑问题,逻辑错误;Logic Issue;逻辑缺陷,软件问题,程序逻辑设计或实现存在问题
数据流问题,数据流问题,数据处理;Data Flow Issue;数据异常,软件问题,数据处理流程存在问题
中断问题,中断问题,中断异常;Interrupt Issue;中断处理,软件问题,系统中断处理存在问题
同步问题,同步问题,并发异常;Synchronization Issue;线程同步,软件问题,多线程或并发处理存在问题
