术语,别名,类别,多标签,备注
BTB连接器,板对板连接器;Board-to-Board Connector,硬件相关,部件;电气连接,连接主板与副板、显示模组等的重要元件，易出现接触不良、虚焊等故障。
CMF,颜色、材料、表面处理;Color Material Finishing,结构相关,设计;外观,决定手机外观质感的关键，涉及喷涂、阳极氧化、镀膜等工艺。
Dome片,按键弹片;Metal Dome,硬件相关,部件;人机交互,提供按键手感的关键金属件，失效会导致按键无反应或手感差。
FPC,柔性电路板;Flexible Printed Circuit,硬件相关,部件;电气连接,用于连接空间受限的部件，如摄像头、显示屏，易发生弯折断裂。
FPS,帧率;Frames Per Second,影像相关,性能指标;软件相关,衡量界面或游戏流畅度的关键指标，帧率过低会导致卡顿。
Gap,间隙;面差,结构相关,外观;装配,指手机外壳部件之间的间隙和高度差，是衡量装配精度和美观度的重要指标。
Lens,镜片;Camera Lens,摄像头模组,部件;影像相关,摄像头的光学镜片，有脏污、划伤、镀膜脱落等不良现象。
LRA,线性谐振执行器;Linear Resonant Actuator,硬件相关,部件;人机交互,提供振动反馈的马达，失效或性能不佳会导致振动弱、异响。
OIS,光学防抖;Optical Image Stabilization,摄像头模组,功能;影像相关,通过镜组或传感器移动补偿手抖，模块不良会导致拍照模糊或异响。
SPK,扬声器;Speaker,硬件相关,部件;声学,负责声音外放，常见不良有杂音、破音、无声。
TP,触摸屏;Touch Panel,硬件相关,部件;人机交互,负责触控功能，常见故障有失灵、乱点、划线不良。
WLAN,无线局域网;Wireless LAN,硬件相关,功能;性能指标,手机Wi-Fi功能，常见问题有连接失败、速率慢、断流。
包材,包装材料;Packaging Material,结构相关,物料;外观,指手机零售包装盒、内托等，破损、污渍会影响开箱体验。
背光,背光模组;Backlight,硬件相关,部件;显示相关,为LCD屏幕提供光源的组件，常见不良有亮度不均、漏光、mura（斑驳）。
边框,中框;Middle Frame,结构相关,部件;外观,手机的骨架结构，用于固定内部元件，变形或腐蚀会影响整机强度和气密性。
充电口,USB-C接口;Type-C Port,硬件相关,部件;电气连接,负责充电和数据传输，常见不良有端口松动、腐蚀、连接不稳定。
触点,金手指;Contact Pin,硬件相关,部件;电气连接,电池、屏幕等模块上与主板连接的导电触点，氧化或污染会导致接触不良。
电芯,电池芯;Battery Cell,硬件相关,部件;安全相关,电池的核心储能部件，其质量直接决定电池的容量、寿命和安全性。
