term,aliases,category,sub_category,tags,definition,example,source,status,updated_at
扬声器BOX,Speaker Box,Component,声学器件,声学;硬件相关;结构相关,为扬声器单元提供密闭或导向的声学腔体极大影响低频响应和灵敏度,扬声器音腔设计,硬件模块扩展,active,2025-09-26
受话器,Receiver,Component,声学器件,声学;硬件相关,用于通话时贴近耳朵听音要求高清晰度,通话受话器,硬件模块扩展,active,2025-09-26
麦克风,Microphone,Component,声学器件,声学;硬件相关,将声音信号转换为电信号有MEMS和ECM等类型,MEMS麦克风,硬件模块扩展,active,2025-09-26
音频编解码器,Audio Codec,Component,音频芯片,声学;硬件相关;半导体,负责模拟音频信号与数字音频信号的转换并可能集成音频效果处理,音频编解码芯片,硬件模块扩展,active,2025-09-26
扬声器单元,Speaker Driver,Component,声学器件,声学;硬件相关,将电信号转换为机械振动从而发声的核心部件包含磁路音圈振膜等,扬声器驱动单元,硬件模块扩展,active,2025-09-26
声学网布,Acoustic Mesh,Material,声学材料,声学;物料;外观,覆盖在出声孔起到防尘防水具有一定透气性和调节声学阻尼的作用,防尘声学网,硬件模块扩展,active,2025-09-26
防水透气膜,Waterproof Breathable Membrane,Material,声学材料,声学;物料;可靠性,允许空气通过以实现声学导通但能阻止液态水侵入,声学防水膜,硬件模块扩展,active,2025-09-26
音腔,Acoustic Chamber,Component,声学结构,声学;结构相关;硬件相关,麦克风或受话器背后的密封空间其容积对频响有重要影响,声学腔体设计,硬件模块扩展,active,2025-09-26
破音,Distortion;Clipping,Symptom,声学缺陷,声学;异常现象,扬声器在大功率下因振幅过大或达到物理极限产生的失真声音,扬声器破音失真,硬件模块扩展,active,2025-09-26
杂音,Noise;Hiss,Symptom,声学缺陷,声学;异常现象,音频信号中夹杂的非预期白噪声或本底噪声,音频底噪问题,硬件模块扩展,active,2025-09-26
声音小,Low Sound Pressure Level,Symptom,声学缺陷,声学;异常现象;性能指标,输出音量达不到设计规格,扬声器音量不足,硬件模块扩展,active,2025-09-26
频响曲线凹陷,Frequency Response Dip,Symptom,声学缺陷,声学;异常现象;性能指标,频率响应曲线在特定频段出现不正常的谷值导致声音发闷或单薄,频响曲线异常,硬件模块扩展,active,2025-09-26
相位抵消,Phase Cancellation,Symptom,声学缺陷,声学;异常现象;性能指标,多个声源如双扬声器发出的声波因相位相反而相互削弱导致声音减弱或怪异,双扬声器相位问题,硬件模块扩展,active,2025-09-26
回声,Echo,Symptom,声学缺陷,声学;异常现象;软件相关,通话时对方能听到自己说话的回声,通话回声问题,硬件模块扩展,active,2025-09-26
音频调试,Audio Tuning,Process,声学调试,声学;测试验证;制造工艺,通过软件参数调整扬声器受话器麦克风的EQ增益限幅器等优化音质和响度,音频参数调试,硬件模块扩展,active,2025-09-26
声学密封测试,Acoustic Seal Test,TestCase,声学测试,声学;测试验证;可靠性,检测扬声器BOX或麦克风声腔的密封性是否良好,声学气密性测试,硬件模块扩展,active,2025-09-26
人工嘴,Artificial Mouth,Tool,声学设备,声学;测试验证;工具,用于播放标准测试信号模拟人嘴说话测试麦克风性能,标准人工嘴,硬件模块扩展,active,2025-09-26
人工耳,Artificial Ear,Tool,声学设备,声学;测试验证;工具,模拟人耳的声学特性用于测量受话器或扬声器在耳道入口处产生的声压,标准人工耳,硬件模块扩展,active,2025-09-26
声学分析仪,Audio Analyzer,Tool,测试仪器,声学;测试验证;工具,如APx系列用于进行高精度的音频参数测量和分析,音频分析仪器,硬件模块扩展,active,2025-09-26
消声室,Anechoic Chamber,Tool,测试环境,声学;测试验证;工具,房间内壁铺设吸声材料模拟自由声场环境用于精确测量声源的辐射特性,声学消声室,硬件模块扩展,active,2025-09-26
频率响应,Frequency Response,Metric,,声学;性能指标,设备输出声压级随频率变化的曲线是衡量音质的基础指标,音频频响曲线,硬件模块扩展,active,2025-09-26
总谐波失真加噪声,THD+N,Metric,,声学;性能指标,衡量音频系统非线性失真和本底噪声的综合指标,音频失真指标,硬件模块扩展,active,2025-09-26
灵敏度,Sensitivity,Metric,,声学;性能指标,给定输入功率如1mW或电压如1V时在指定距离如10cm产生的声压级,扬声器灵敏度,硬件模块扩展,active,2025-09-26
最大声压级,Maximum SPL,Metric,,声学;性能指标,扬声器在失真不超过限定值时可输出的最大声音强度,扬声器最大音量,硬件模块扩展,active,2025-09-26
声学工程师,Acoustic Engineer,Role,工程师,声学;设计;硬件相关,负责声学器件的选型声学结构设计音质主观客观评价和调试,声学设计工程师,硬件模块扩展,active,2025-09-26
