term,aliases,category,sub_category,tags,definition,example,source,status,updated_at
Wi-Fi 6E芯片,802.11ax芯片,Component,通信芯片,通信相关;硬件相关;功能,支持6GHz频段的Wi-Fi芯片提供更宽的信道和更低的干扰,Wi-Fi 6E无线芯片,硬件模块扩展,active,2025-09-26
蓝牙5.3芯片,BT 5.3,Component,通信芯片,通信相关;硬件相关;功能,支持LE Audio具有更低的功耗和更好的多设备连接能力,蓝牙5.3无线芯片,硬件模块扩展,active,2025-09-26
5G调制解调器,5G Modem,Component,通信芯片,通信相关;硬件相关;半导体,负责5G NR信号的编码解码支持Sub-6GHz和毫米波频段,5G基带芯片,硬件模块扩展,active,2025-09-26
GNSS接收芯片,全球导航卫星系统芯片,Component,定位芯片,通信相关;硬件相关;功能,支持GPS GLONASS Galileo BDS等多个卫星系统的定位信号接收,卫星定位芯片,硬件模块扩展,active,2025-09-26
NFC控制器,近场通信控制器,Component,通信芯片,通信相关;硬件相关;功能,实现手机支付门禁模拟标签读写等近距离通信功能,NFC芯片,硬件模块扩展,active,2025-09-26
eSIM,嵌入式SIM卡,Component,通信模块,通信相关;硬件相关;功能,直接焊在主板上的SIM芯片可通过软件切换运营商节省空间,嵌入式SIM,硬件模块扩展,active,2025-09-26
天线调谐开关,Antenna Tuning Switch,Component,射频器件,通信相关;硬件相关;射频相关,根据频率动态切换天线匹配网络优化天线效率,天线调谐器,硬件模块扩展,active,2025-09-26
分集天线,Diversity Antenna,Component,天线系统,通信相关;硬件相关;射频相关,接收主天线之外的另一套接收天线通过选择或合并技术改善信号质量,分集接收天线,硬件模块扩展,active,2025-09-26
MIMO天线系统,多输入多输出天线系统,Component,天线系统,通信相关;硬件相关;射频相关,使用多个天线同时收发数据提升信道容量和链路可靠性,MIMO天线,硬件模块扩展,active,2025-09-26
射频滤波器,RF Filter,Component,射频器件,通信相关;硬件相关;射频相关,如SAW/BAW滤波器用于滤除特定频段的干扰信号,RF滤波器,硬件模块扩展,active,2025-09-26
