术语,别名,类别,多标签,备注,来源,创建时间,更新时间,版本
摄像头,相机,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
屏幕,显示屏,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
电池,Battery,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
主板,MB,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
天线,射频天线,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
尾插,充电接口,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
听筒,Receiver,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
麦克风,Mic,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
震动马达,振子,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
电源键,Power Key,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
音量键,Volume Key,硬件相关,部件,,migration,2025-09-25T02:35:39.530767,2025-09-25T02:35:39.530767,1
后盖,Back Cover,硬件相关,部件,,migration,2025-09-25T02:35:39.531766,2025-09-25T02:35:39.531766,1
指纹模组,Fingerprint,硬件相关,部件,,migration,2025-09-25T02:35:39.531766,2025-09-25T02:35:39.531766,1
面容识别模组,Face ID,硬件相关,部件,,migration,2025-09-25T02:35:39.531766,2025-09-25T02:35:39.531766,1
闪光灯,Flash,硬件相关,部件,,migration,2025-09-25T02:35:39.531766,2025-09-25T02:35:39.531766,1
摄像头玻璃,Camera Glass,硬件相关,部件,,migration,2025-09-25T02:35:39.531766,2025-09-25T02:35:39.531766,1
SIM卡座,SIM Tray,硬件相关,部件,,migration,2025-09-25T02:35:39.531766,2025-09-25T02:35:39.531766,1
散热片,Heat Sink,硬件相关,部件,,migration,2025-09-25T02:35:39.532766,2025-09-25T02:35:39.532766,1
导热胶,Thermal Pad,硬件相关,部件,,migration,2025-09-25T02:35:39.532766,2025-09-25T02:35:39.532766,1
NFC天线,NFC,硬件相关,部件,,migration,2025-09-25T02:35:39.532766,2025-09-25T02:35:39.532766,1
无线充电线圈,Wireless Charging Coil,硬件相关,部件,,migration,2025-09-25T02:35:39.532766,2025-09-25T02:35:39.532766,1
传感器模组,Sensor Module,硬件相关,部件,,migration,2025-09-25T02:35:39.532766,2025-09-25T02:35:39.532766,1
死机,,异常现象,症状,,migration,2025-09-25T02:35:39.533771,2025-09-25T02:35:39.533771,1
重启,,异常现象,症状,,migration,2025-09-25T02:35:39.533771,2025-09-25T02:35:39.533771,1
卡顿,,异常现象,症状,,migration,2025-09-25T02:35:39.533771,2025-09-25T02:35:39.533771,1
过热,,异常现象,症状,,migration,2025-09-25T02:35:39.533771,2025-09-25T02:35:39.533771,1
充电慢,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
无法充电,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
信号差,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
无信号,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
拍照模糊,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
对焦失败,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
漏光,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
偏色,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
触摸不灵敏,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
触摸漂移,,异常现象,症状,,migration,2025-09-25T02:35:39.534768,2025-09-25T02:35:39.534768,1
