术语,别名,类别,多标签,备注
对焦慢,AF Slow;自动对焦慢,异常现象,摄像头模组;性能指标,对焦时间超过标准值（通常>1秒），影响拍照体验
对焦不准,AF Inaccurate;对焦偏移,异常现象,摄像头模组;功能,对焦位置偏离目标，导致主体模糊
镜头起雾,Lens Fogging;镜头雾化,异常现象,摄像头模组;可靠性,镜头内部出现雾气，通常由密封不良或温差引起
镜头污染,Lens Contamination;镜头脏污,异常现象,摄像头模组;制造工艺,镜头表面或内部有灰尘、油污等污染物
色偏,Color Cast;颜色偏差,异常现象,摄像头模组;影像相关,图像颜色偏离真实色彩，可能偏红、偏蓝等
噪点,Image Noise;颗粒感,异常现象,摄像头模组;影像相关,图像出现颗粒状噪点，尤其在暗光环境下明显
曝光异常,Exposure Issue;过曝;欠曝,异常现象,摄像头模组;影像相关,图像过亮或过暗，无法正确还原场景亮度
白平衡失准,WB Error;White Balance Error,异常现象,摄像头模组;影像相关,图像色温不准确，白色物体显示偏色
鬼影,Ghosting;重影,异常现象,摄像头模组;影像相关,强光源周围出现虚影，由镜头内部反射引起
眩光,Flare;光晕,异常现象,摄像头模组;影像相关,强光源造成的光斑或光晕，降低图像对比度
防抖失效,OIS Failure;防抖不工作,异常现象,摄像头模组;功能,光学防抖功能失效，手持拍摄容易模糊
防抖异响,OIS Noise,异常现象,摄像头模组;可靠性,防抖模组工作时产生异常声音
马达卡死,Motor Stuck;VCM卡死,异常现象,摄像头模组;硬件相关,VCM马达无法移动，对焦功能完全失效
马达异响,Motor Noise;对焦异响,异常现象,摄像头模组;可靠性,对焦时马达发出异常声音
Sensor坏点,Dead Pixel;亮点;暗点,异常现象,摄像头模组;硬件相关,图像传感器像素点失效，图像上出现固定位置的亮点或暗点
