term,canonical_name,aliases,category,description
对焦失败,对焦失败,无法对焦;对焦不准;Focus Fail;对焦异常,功能异常,摄像头无法正确对焦到目标物体
黑屏,黑屏,屏幕黑屏;无显示;Black Screen;死机黑屏,显示异常,屏幕无显示或显示黑色
发热异常,发热异常,过热;温度过高;Overheating;发烫,性能异常,设备温度超过正常范围
无法开机,无法开机,开不了机;启动失败;Boot Fail;死机,启动异常,设备无法正常启动或开机
充电异常,充电异常,充不进电;充电慢;Charging Issue;充电故障,电源异常,设备充电功能异常或充电速度异常
电池耗电快,电池耗电快,续航短;电量消耗快;Battery Drain;掉电快,电源异常,电池电量消耗速度异常快
屏幕闪烁,屏幕闪烁,闪屏;显示闪烁;Screen Flicker;屏幕抖动,显示异常,屏幕显示出现闪烁或抖动现象
触摸失灵,触摸失灵,触屏不灵;触控异常;Touch Fail;触摸无响应,交互异常,触摸屏无法正常响应触摸操作
声音异常,声音异常,无声音;杂音;Audio Issue;音质差,音频异常,扬声器或麦克风音频输出异常
网络连接异常,网络连接异常,无法联网;WiFi异常;Network Issue;断网,连接异常,无法正常连接网络或网络不稳定
蓝牙连接失败,蓝牙连接失败,蓝牙异常;BT连接失败;Bluetooth Fail,连接异常,无法正常连接蓝牙设备
GPS定位异常,GPS定位异常,定位失败;导航异常;Location Issue;位置错误,定位异常,GPS定位功能异常或定位不准确
指纹识别失败,指纹识别失败,指纹异常;识别失败;Fingerprint Fail,识别异常,指纹传感器无法正常识别指纹
面部识别失败,面部识别失败,人脸识别失败;Face ID失败;面容识别异常,识别异常,面部识别功能无法正常工作
摄像头异常,摄像头异常,拍照异常;相机故障;Camera Issue;拍照失败,功能异常,摄像头功能异常或拍照质量问题
闪光灯不亮,闪光灯不亮,补光灯异常;Flash异常;闪光灯故障,功能异常,闪光灯无法正常工作或亮度异常
振动异常,振动异常,震动失效;Vibration Issue;触觉反馈异常,功能异常,振动器无法正常工作或振动强度异常
按键失灵,按键失灵,按键无响应;Button Fail;物理按键异常,交互异常,物理按键无法正常响应或按键卡死
SIM卡识别异常,SIM卡识别异常,无法识别SIM卡;SIM卡故障;Card Error,连接异常,设备无法正常识别或读取SIM卡
内存不足,内存不足,存储空间不足;Memory Full;空间不够,性能异常,设备存储空间不足影响正常使用
运行缓慢,运行缓慢,卡顿;性能差;Lag;响应慢,性能异常,设备运行速度明显变慢或出现卡顿
应用崩溃,应用崩溃,程序闪退;App Crash;软件异常,软件异常,应用程序异常退出或无法正常运行
系统重启,系统重启,自动重启;Reboot;重启异常,系统异常,设备自动重启或频繁重启
死机,死机,系统卡死;Freeze;无响应,系统异常,设备完全无响应需要强制重启
花屏,花屏,显示异常;Screen Corruption;显示错乱,显示异常,屏幕显示内容错乱或出现异常图案
白屏,白屏,屏幕全白;White Screen;白屏死机,显示异常,屏幕显示全白色无其他内容
竖线,竖线,屏幕竖线;显示线条;Screen Lines,显示异常,屏幕上出现垂直线条
横线,横线,屏幕横线;水平线条;Horizontal Lines,显示异常,屏幕上出现水平线条
色彩异常,色彩异常,颜色失真;Color Issue;显示偏色,显示异常,屏幕显示颜色不正常或偏色
亮度异常,亮度异常,屏幕太暗;屏幕太亮;Brightness Issue,显示异常,屏幕亮度无法正常调节或亮度异常
漏光,漏光,背光漏光;Light Leakage;屏幕漏光,显示异常,屏幕边缘或某些区域出现漏光现象
坏点,坏点,亮点;暗点;Dead Pixel;像素点异常,显示异常,屏幕上出现不正常的像素点
残影,残影,屏幕残影;Image Retention;烧屏,显示异常,屏幕上残留之前显示的图像
触摸偏移,触摸偏移,触控偏移;Touch Offset;触摸不准,交互异常,触摸位置与实际响应位置不一致
多点触控异常,多点触控异常,多指触控失效;Multi-touch Fail,交互异常,多点触控功能异常或失效
手势识别异常,手势识别异常,手势失效;Gesture Fail;手势不响应,交互异常,手势操作无法正常识别或响应
按键卡死,按键卡死,按键卡住;Button Stuck;按键不回弹,交互异常,物理按键按下后无法正常回弹
按键松动,按键松动,按键晃动;Button Loose;按键不稳,交互异常,物理按键出现松动或晃动现象
无声,无声,没有声音;静音;No Sound;音频输出异常,音频异常,设备无任何声音输出
杂音,杂音,噪音;Audio Noise;声音干扰,音频异常,音频输出中包含杂音或噪音
音量异常,音量异常,声音太小;声音太大;Volume Issue,音频异常,音频输出音量异常或无法调节
录音异常,录音异常,无法录音;Recording Issue;麦克风异常,音频异常,录音功能异常或录音质量问题
通话异常,通话异常,通话无声;Call Issue;通话质量差,通信异常,通话过程中出现音频异常
信号弱,信号弱,信号差;Signal Weak;网络信号不好,连接异常,移动网络或WiFi信号强度不足
断网,断网,网络中断;Network Disconnect;连接中断,连接异常,网络连接突然中断或不稳定
网速慢,网速慢,网络缓慢;Slow Network;网络延迟,连接异常,网络传输速度明显低于正常水平
无法连接,无法连接,连接失败;Connection Fail;连接不上,连接异常,无法建立网络连接
数据传输异常,数据传输异常,传输失败;Data Transfer Issue,连接异常,数据传输过程中出现异常或失败
定位不准,定位不准,位置偏差;Location Inaccurate;GPS偏差,定位异常,GPS定位结果与实际位置存在偏差
定位缓慢,定位缓慢,定位时间长;GPS Slow;定位延迟,定位异常,GPS定位速度明显变慢
无法定位,无法定位,定位失败;No GPS;位置服务异常,定位异常,完全无法获取GPS定位信息
