name,category,description,severity
对焦失败,功能异常,摄像头无法正确对焦,S2
画面模糊,图像质量,拍摄的图像不清晰,S3
色彩偏差,图像质量,显示或拍摄的颜色不准确,S3
黑屏,显示异常,屏幕无显示或显示黑色,S1
白屏,显示异常,屏幕显示全白,S1
花屏,显示异常,屏幕显示异常图案,S2
触摸失灵,交互异常,触摸屏无响应,S1
触摸偏移,交互异常,触摸位置与实际位置不符,S2
无法开机,系统异常,设备无法启动,S1
自动重启,系统异常,设备意外重启,S2
死机,系统异常,设备无响应需强制重启,S2
发热异常,硬件异常,设备温度过高,S2
电池耗电快,电源异常,电池续航时间短,S3
充电慢,电源异常,充电速度异常缓慢,S3
无法充电,电源异常,设备无法充电,S1
音质异常,音频异常,播放音频质量差,S3
无声音,音频异常,设备无音频输出,S2
杂音,音频异常,音频中有噪音,S3
录音失败,音频异常,无法录制音频,S2
网络连接失败,网络异常,无法连接网络,S2
信号弱,网络异常,网络信号强度低,S3
断网,网络异常,网络连接中断,S2
蓝牙连接失败,连接异常,无法连接蓝牙设备,S3
WiFi连接失败,连接异常,无法连接WiFi网络,S2
应用崩溃,软件异常,应用程序意外退出,S2
应用卡顿,性能异常,应用运行缓慢,S3
系统卡顿,性能异常,系统响应缓慢,S2
内存不足,资源异常,可用内存过低,S3
存储空间不足,资源异常,可用存储空间过低,S3
外观划痕,外观异常,设备表面有划痕,S4
外观变色,外观异常,设备颜色发生变化,S4
按键失灵,交互异常,物理按键无响应,S2
按键卡住,交互异常,物理按键无法正常按下,S2
指纹识别失败,生物识别异常,指纹传感器无法识别,S3
面部识别失败,生物识别异常,面部识别功能失效,S3
