术语,别名,类别,多标签,备注
AQL,接收质量限;Acceptable Quality Level,工具,测试验证;质量体系,抽样检验的标准，用于来料或出货检验时判定批合格与否。
Corner Drop,角跌落,测试验证,可靠性;结构相关,手机特定角落着地的跌落测试，用于评估结构最脆弱点的强度。
CPK,过程能力指数;Process Capability Index,工具,制造工艺;质量体系,衡量生产过程稳定满足规格要求的能力，大于1.33表示过程能力良好。
DQA,设计质量保证;Design Quality Assurance,组织职责,流程相关;项目相关,在研发阶段介入，确保产品设计满足可靠性、可制造性等质量要求的角色。
Drop Test,跌落测试,测试验证,可靠性;结构相关,模拟手机意外跌落场景，验证整机结构强度、屏幕和电池等部件的可靠性。
ESD,静电放电;Electro-Static Discharge,测试验证,硬件相关;可靠性,测试手机抵御静电冲击的能力，不合格会导致芯片击穿或功能异常。
FACA,最终审核纠正措施;Final Audit Corrective Action,流程相关,质量体系;项目相关,在项目量产前，针对开箱审计发现的问题进行闭环管理的流程。
HALT,高加速寿命测试;Highly Accelerated Life Test,测试验证,可靠性;研发,通过施加高应力快速激发产品潜在缺陷的测试方法，用于设计阶段。
IQC,来料检验;Incoming Quality Control,流程相关,制造工艺;质量体系,对供应商送达的物料进行检验，确保投入生产的物料符合标准。
MTBF,平均无故障时间;Mean Time Between Failures,工具,可靠性;性能指标,衡量产品可靠性的关键预测指标，通常通过可靠性试验数据计算得出。
PMP,项目管理计划;Project Management Plan,项目相关,流程相关;组织职责,项目开展的总体指导文件，包含范围、进度、质量、风险等管理计划。
PVT,生产验证测试;Production Validation Test,项目相关,测试验证;制造工艺,在量产初期进行的测试，验证生产线能否稳定地生产出合格产品。
Vendor,供应商;Supplier,组织职责,流程相关;项目相关,提供手机零部件或服务的厂商，其质量能力直接影响整机质量。
点屏,屏幕点亮;Screen Lighting,测试验证,制造工艺;显示相关,在组装过程中对显示屏进行通电，初步检查显示功能是否正常。
点压,按压测试;Press Test,测试验证,人机交互;可靠性,对手机按键、屏幕等进行反复按压，测试其机械耐久性。
多标签,标签;Tag,工具,项目相关;软件相关,用于对问题、物料或知识进行分类和标记的元数据，便于筛选和管理。
