source_term,target_term,confidence,source,note
马达固定结构,磨损颗粒,1.0,suggestion:auto,tags=3; modules=3
马达固定结构,缝隙腐蚀,1.0,suggestion:auto,tags=3; modules=3
马达固定结构,疲劳断裂,1.0,suggestion:auto,tags=3; modules=3
马达固定结构,氢致开裂,1.0,suggestion:auto,tags=3; modules=3
马达固定结构,应力腐蚀开裂,1.0,suggestion:auto,tags=3; modules=3
马达固定结构,腐蚀疲劳,1.0,suggestion:auto,tags=3; modules=3
马达固定结构,微动磨损,1.0,suggestion:auto,tags=3; modules=3
气压计,响应延迟,1.0,suggestion:auto,tags=3; modules=2
磁力计,响应延迟,1.0,suggestion:auto,tags=3; modules=2
陀螺仪,响应延迟,1.0,suggestion:auto,tags=3; modules=2
MEMS加速度计,响应延迟,1.0,suggestion:auto,tags=3; modules=2
Type-C连接器,短路,1.0,suggestion:auto,tags=2; modules=2
压敏电阻,短路,1.0,suggestion:auto,tags=2; modules=2
热敏电阻,短路,1.0,suggestion:auto,tags=2; modules=2
阻抗匹配,银迁移,1.0,suggestion:auto,tags=2; modules=2
热管,锡须,1.0,suggestion:auto,tags=2; modules=2
均热板,电化学迁移,1.0,suggestion:auto,tags=2; modules=2
热管,电化学迁移,1.0,suggestion:auto,tags=2; modules=2
自恢复保险丝,漏液,1.0,suggestion:auto,tags=2; modules=2
扬声器单元,噪音,1.0,suggestion:auto,tags=2; modules=2
麦克风硅麦,开短路,1.0,suggestion:auto,tags=2; modules=2
TVS二极管,漏液,1.0,suggestion:auto,tags=2; modules=2
热管,爬行腐蚀,1.0,suggestion:auto,tags=2; modules=2
均热板,锡须,1.0,suggestion:auto,tags=2; modules=2
均热板,银迁移,1.0,suggestion:auto,tags=2; modules=2
马达固定结构,银迁移,1.0,suggestion:auto,tags=2; modules=2
BTB连接器,短路,1.0,suggestion:auto,tags=2; modules=2
射频连接器,短路,1.0,suggestion:auto,tags=2; modules=2
板对板连接器,短路,1.0,suggestion:auto,tags=2; modules=2
晶体振荡器,短路,1.0,suggestion:auto,tags=2; modules=2
ESD保护器件,漏液,1.0,suggestion:auto,tags=2; modules=2
音频编解码器,噪音,1.0,suggestion:auto,tags=2; modules=2
音腔,噪音,1.0,suggestion:auto,tags=2; modules=2
复合板材后盖,混光,1.0,suggestion:auto,tags=2; modules=2
自恢复保险丝,击穿,1.0,suggestion:auto,tags=2; modules=2
背光模组,黑屏,1.0,suggestion:auto,tags=2; modules=2
压敏电阻,鼓包,1.0,suggestion:auto,tags=2; modules=2
TVS二极管,击穿,1.0,suggestion:auto,tags=2; modules=2
板对板连接器,接触不良,1.0,suggestion:auto,tags=2; modules=2
FPC连接器,接触不良,1.0,suggestion:auto,tags=2; modules=2
SIM卡座,开短路,1.0,suggestion:auto,tags=2; modules=2
板对板连接器,开短路,1.0,suggestion:auto,tags=2; modules=2
3.5mm音频接口,口哨声,1.0,suggestion:auto,tags=2; modules=2
扬声器单元,乐音,1.0,suggestion:auto,tags=2; modules=2
背光模组,漏光,1.0,suggestion:auto,tags=2; modules=2
压敏电阻,漏液,1.0,suggestion:auto,tags=2; modules=2
TVS二极管,短路,1.0,suggestion:auto,tags=2; modules=2
均热板,爬行腐蚀,1.0,suggestion:auto,tags=2; modules=2
马达固定结构,爬行腐蚀,1.0,suggestion:auto,tags=2; modules=2
阻抗匹配,爬行腐蚀,1.0,suggestion:auto,tags=2; modules=2
高光,色差,1.0,suggestion:auto,tags=2; modules=2
阻抗匹配,锡须,1.0,suggestion:auto,tags=2; modules=2
热管,银迁移,1.0,suggestion:auto,tags=2; modules=2
钽电容,电流过大,1.0,suggestion:auto,tags=2; modules=2
压敏电阻,电流过大,1.0,suggestion:auto,tags=2; modules=2
ESD保护器件,电流过大,1.0,suggestion:auto,tags=2; modules=2
电源管理芯片,短路,1.0,suggestion:auto,tags=2; modules=2
天线触点,短路,1.0,suggestion:auto,tags=2; modules=2
USB Type-C接口,短路,1.0,suggestion:auto,tags=2; modules=2
FPC连接器,短路,1.0,suggestion:auto,tags=2; modules=2
多层陶瓷电容,短路,1.0,suggestion:auto,tags=2; modules=2
磁珠,短路,1.0,suggestion:auto,tags=2; modules=2
ESD保护器件,击穿,1.0,suggestion:auto,tags=2; modules=2
受话器,噪音,1.0,suggestion:auto,tags=2; modules=2
TVS二极管,发烫,1.0,suggestion:auto,tags=2; modules=2
均热板,干腐,1.0,suggestion:auto,tags=2; modules=2
指纹传感器,发烫,1.0,suggestion:auto,tags=2; modules=2
马达固定结构,发热,1.0,suggestion:auto,tags=2; modules=2
过压保护电路,发烫,1.0,suggestion:auto,tags=2; modules=2
高光,分色,1.0,suggestion:auto,tags=2; modules=2
保护板,鼓包,1.0,suggestion:auto,tags=2; modules=2
过流保护电路,鼓包,1.0,suggestion:auto,tags=2; modules=2
ESD保护器件,鼓包,1.0,suggestion:auto,tags=2; modules=2
LCD面板,黑屏,1.0,suggestion:auto,tags=2; modules=2
LCD面板,花屏,1.0,suggestion:auto,tags=2; modules=2
玻璃后盖,混光,1.0,suggestion:auto,tags=2; modules=2
指纹传感器,击穿,1.0,suggestion:auto,tags=2; modules=2
压敏电阻,击穿,1.0,suggestion:auto,tags=2; modules=2
FPC,接触不良,1.0,suggestion:auto,tags=2; modules=2
BTB连接器,接触不良,1.0,suggestion:auto,tags=2; modules=2
Type-C连接器,接触不良,1.0,suggestion:auto,tags=2; modules=2
pogo pin连接器,接触不良,1.0,suggestion:auto,tags=2; modules=2
天线触点,开短路,1.0,suggestion:auto,tags=2; modules=2
FPC,开短路,1.0,suggestion:auto,tags=2; modules=2
USB Type-C接口,开短路,1.0,suggestion:auto,tags=2; modules=2
FPC连接器,开短路,1.0,suggestion:auto,tags=2; modules=2
麦克风,口哨声,1.0,suggestion:auto,tags=2; modules=2
音腔,口哨声,1.0,suggestion:auto,tags=2; modules=2
音频编解码器,乐音,1.0,suggestion:auto,tags=2; modules=2
麦克风,乐音,1.0,suggestion:auto,tags=2; modules=2
麦克风硅麦,乐音,1.0,suggestion:auto,tags=2; modules=2
LCD面板,漏光,1.0,suggestion:auto,tags=2; modules=2
保护板,漏液,1.0,suggestion:auto,tags=2; modules=2
过流保护电路,漏液,1.0,suggestion:auto,tags=2; modules=2
盖板玻璃,模痕,1.0,suggestion:auto,tags=2; modules=2
晶体振荡器,电流过大,1.0,suggestion:auto,tags=2; modules=2
摄像头装饰件,模痕,1.0,suggestion:auto,tags=2; modules=2
麦克风硅麦,噪音,1.0,suggestion:auto,tags=2; modules=2
盖板玻璃,缺口,1.0,suggestion:auto,tags=2; modules=2
摄像头装饰件,缺口,1.0,suggestion:auto,tags=2; modules=2
复合板材后盖,缺口,1.0,suggestion:auto,tags=2; modules=2
玻璃后盖,缺口,1.0,suggestion:auto,tags=2; modules=2
热管,热损,1.0,suggestion:auto,tags=2; modules=2
马达固定结构,热损,1.0,suggestion:auto,tags=2; modules=2
磁珠,电流过大,1.0,suggestion:auto,tags=2; modules=2
马达固定结构,锡须,1.0,suggestion:auto,tags=2; modules=2
保护板,电流过大,1.0,suggestion:auto,tags=2; modules=2
电感,电流过大,1.0,suggestion:auto,tags=2; modules=2
电源管理芯片,电流过大,1.0,suggestion:auto,tags=2; modules=2
多层陶瓷电容,电流过大,1.0,suggestion:auto,tags=2; modules=2
马达固定结构,Hotspot,1.0,suggestion:auto,tags=2; modules=2
热敏电阻,电流过大,1.0,suggestion:auto,tags=2; modules=2
TVS二极管,电流过大,1.0,suggestion:auto,tags=2; modules=2
自恢复保险丝,电流过大,1.0,suggestion:auto,tags=2; modules=2
FPC,短路,1.0,suggestion:auto,tags=2; modules=2
保护板,短路,1.0,suggestion:auto,tags=2; modules=2
OLED面板,白点,1.0,suggestion:auto,tags=2; modules=2
LCD面板,白点,1.0,suggestion:auto,tags=2; modules=2
背光模组,白点,1.0,suggestion:auto,tags=2; modules=2
显示驱动芯片,白点,1.0,suggestion:auto,tags=2; modules=2
闪电接口,短路,1.0,suggestion:auto,tags=2; modules=2
pogo pin连接器,短路,1.0,suggestion:auto,tags=2; modules=2
SIM卡座,短路,1.0,suggestion:auto,tags=2; modules=2
麦克风硅麦,短路,1.0,suggestion:auto,tags=2; modules=2
钽电容,短路,1.0,suggestion:auto,tags=2; modules=2
电感,短路,1.0,suggestion:auto,tags=2; modules=2
马达固定结构,松脱,1.0,suggestion:auto,tags=2; modules=2
侧键,断触,1.0,suggestion:auto,tags=2; modules=2
转子马达,断触,1.0,suggestion:auto,tags=2; modules=2
压电陶瓷马达,断触,1.0,suggestion:auto,tags=2; modules=2
麦克风硅麦,爆音,1.0,suggestion:auto,tags=2; modules=2
热管,干腐,1.0,suggestion:auto,tags=2; modules=2
自恢复保险丝,短路,1.0,suggestion:auto,tags=2; modules=2
线性马达,断触,1.0,suggestion:auto,tags=2; modules=2
均热板,发热,1.0,suggestion:auto,tags=2; modules=2
热管,发热,1.0,suggestion:auto,tags=2; modules=2
电芯,发烫,1.0,suggestion:auto,tags=2; modules=2
保护板,发烫,1.0,suggestion:auto,tags=2; modules=2
过流保护电路,发烫,1.0,suggestion:auto,tags=2; modules=2
压敏电阻,发烫,1.0,suggestion:auto,tags=2; modules=2
自恢复保险丝,发烫,1.0,suggestion:auto,tags=2; modules=2
ESD保护器件,发烫,1.0,suggestion:auto,tags=2; modules=2
马达固定结构,干腐,1.0,suggestion:auto,tags=2; modules=2
电芯,鼓包,1.0,suggestion:auto,tags=2; modules=2
指纹传感器,鼓包,1.0,suggestion:auto,tags=2; modules=2
过压保护电路,鼓包,1.0,suggestion:auto,tags=2; modules=2
TVS二极管,鼓包,1.0,suggestion:auto,tags=2; modules=2
自恢复保险丝,鼓包,1.0,suggestion:auto,tags=2; modules=2
