source_term,target_term,confidence,source,note
连接器插拔力测试,泄漏测试仪,1.0,suggestion:auto,tags=3; modules=3
钢球冲击测试,泄漏测试仪,1.0,suggestion:auto,tags=3; modules=3
砂尘测试,激光测振仪,1.0,suggestion:auto,tags=3; modules=3
落球冲击测试,泄漏测试仪,1.0,suggestion:auto,tags=3; modules=3
瞬态温度测试,热阻测试仪,1.0,suggestion:auto,tags=3; modules=3
钢球冲击测试,振动控制器,1.0,suggestion:auto,tags=3; modules=3
针刺测试,绝热量热仪,1.0,suggestion:auto,tags=3; modules=3
防水测试,振动控制器,1.0,suggestion:auto,tags=3; modules=3
高温存储测试,高低温循环试验箱,1.0,suggestion:auto,tags=3; modules=3
弯曲测试,振动控制器,1.0,suggestion:auto,tags=3; modules=3
机械冲击测试,泄漏测试仪,1.0,suggestion:auto,tags=3; modules=3
稳态温度测试,红外热像仪,1.0,suggestion:auto,tags=3; modules=3
浪涌抗扰度测试,绝缘耐压测试仪,1.0,suggestion:auto,tags=3; modules=3
扭压测试,泄漏测试仪,1.0,suggestion:auto,tags=3; modules=3
扭压测试,振动控制器,1.0,suggestion:auto,tags=3; modules=3
插拔力测试,恒温恒湿试验箱,1.0,suggestion:auto,tags=3; modules=3
瞬态温度测试,红外热像仪,1.0,suggestion:auto,tags=3; modules=3
静电放电抗扰度,恒温恒湿试验箱,1.0,suggestion:auto,tags=3; modules=3
砂尘测试,泄漏测试仪,1.0,suggestion:auto,tags=3; modules=3
连接器插拔力测试,激光测振仪,1.0,suggestion:auto,tags=3; modules=3
钢球冲击测试,激光测振仪,1.0,suggestion:auto,tags=3; modules=3
弯曲测试,泄漏测试仪,1.0,suggestion:auto,tags=3; modules=3
谐波电流发射,恒温恒湿试验箱,1.0,suggestion:auto,tags=3; modules=3
机械冲击测试,激光测振仪,1.0,suggestion:auto,tags=3; modules=3
跌落测试,泄漏测试仪,1.0,suggestion:auto,tags=3; modules=3
按键寿命测试,激光测振仪,1.0,suggestion:auto,tags=3; modules=3
电容纹波电流测试,恒温恒湿试验箱,1.0,suggestion:auto,tags=3; modules=3
高加速寿命测试,高低温循环试验箱,1.0,suggestion:auto,tags=3; modules=3
连接器插拔寿命测试,恒温恒湿试验箱,1.0,suggestion:auto,tags=3; modules=3
按键寿命测试,泄漏测试仪,1.0,suggestion:auto,tags=3; modules=3
高温存储测试,恒温恒湿试验箱,1.0,suggestion:auto,tags=3; modules=3
机械冲击测试,振动控制器,1.0,suggestion:auto,tags=3; modules=3
热滥用测试,绝热量热仪,1.0,suggestion:auto,tags=3; modules=3
静电放电抗扰度,高低温循环试验箱,1.0,suggestion:auto,tags=3; modules=3
连接器插拔力测试,振动控制器,1.0,suggestion:auto,tags=3; modules=3
瞬态温度测试,红外热成像仪,1.0,suggestion:auto,tags=3; modules=3
浪涌抗扰度,高低温循环试验箱,1.0,suggestion:auto,tags=3; modules=3
浪涌抗扰度,恒温恒湿试验箱,1.0,suggestion:auto,tags=3; modules=3
弯曲测试,激光测振仪,1.0,suggestion:auto,tags=3; modules=3
高加速寿命测试,恒温恒湿试验箱,1.0,suggestion:auto,tags=3; modules=3
温升测试,热成像仪,1.0,suggestion:auto,tags=3; modules=3
稳态温度测试,红外热成像仪,1.0,suggestion:auto,tags=3; modules=3
扭压测试,激光测振仪,1.0,suggestion:auto,tags=3; modules=3
跌落测试,激光测振仪,1.0,suggestion:auto,tags=3; modules=3
防水测试,激光测振仪,1.0,suggestion:auto,tags=3; modules=3
砂尘测试,振动控制器,1.0,suggestion:auto,tags=3; modules=3
落球冲击测试,振动控制器,1.0,suggestion:auto,tags=3; modules=3
谐波电流发射,高低温循环试验箱,1.0,suggestion:auto,tags=3; modules=3
落球冲击测试,激光测振仪,1.0,suggestion:auto,tags=3; modules=3
插拔力测试,高低温循环试验箱,1.0,suggestion:auto,tags=3; modules=3
防水测试,泄漏测试仪,1.0,suggestion:auto,tags=3; modules=3
跌落测试,振动控制器,1.0,suggestion:auto,tags=3; modules=3
盐雾测试,高低温循环试验箱,1.0,suggestion:auto,tags=3; modules=3
按键寿命测试,振动控制器,1.0,suggestion:auto,tags=3; modules=3
连接器保持力测试,高低温循环试验箱,1.0,suggestion:auto,tags=3; modules=3
连接器保持力测试,恒温恒湿试验箱,1.0,suggestion:auto,tags=3; modules=3
ESD抗扰度测试,绝缘耐压测试仪,1.0,suggestion:auto,tags=3; modules=3
盐雾测试,恒温恒湿试验箱,1.0,suggestion:auto,tags=3; modules=3
电容纹波电流测试,高低温循环试验箱,1.0,suggestion:auto,tags=3; modules=3
连接器插拔寿命测试,高低温循环试验箱,1.0,suggestion:auto,tags=3; modules=3
稳态温度测试,热阻测试仪,1.0,suggestion:auto,tags=3; modules=3
热失重,动态力学分析仪,1.0,suggestion:auto,tags=3; modules=2
热失重,离子色谱仪,1.0,suggestion:auto,tags=3; modules=2
热失重,X射线衍射仪,1.0,suggestion:auto,tags=3; modules=2
OTA性能测试,频谱分析仪,1.0,suggestion:auto,tags=3; modules=2
OTA测试,频谱分析仪,1.0,suggestion:auto,tags=3; modules=2
传导测试,频谱分析仪,1.0,suggestion:auto,tags=3; modules=2
热失重,热重分析仪,1.0,suggestion:auto,tags=3; modules=2
谐波电流发射,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,红外热像仪,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,能谱仪,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,金相切片,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,聚焦离子束,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,超声波扫描显微镜,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,原子力显微镜,1.0,suggestion:auto,tags=2; modules=2
时序分析,LCR meter,1.0,suggestion:auto,tags=2; modules=2
时序分析,光谱分析仪,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,高倍率扫描电镜,1.0,suggestion:auto,tags=2; modules=2
时序分析,高低温循环试验箱,1.0,suggestion:auto,tags=2; modules=2
电快速瞬变脉冲群,恒温恒湿试验箱,1.0,suggestion:auto,tags=2; modules=2
时序分析,功耗分析仪,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,热重分析仪,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,二次离子质谱仪,1.0,suggestion:auto,tags=2; modules=2
功率循环测试,红外热成像仪,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,LCR meter,1.0,suggestion:auto,tags=2; modules=2
功率循环测试,高低温循环试验箱,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,矢量网络分析仪,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,俄歇电子能谱仪,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,光谱分析仪,1.0,suggestion:auto,tags=2; modules=2
功率循环测试,红外热像仪,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,原子力显微镜,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,红外热像仪,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,二次离子质谱仪,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,金相切片,1.0,suggestion:auto,tags=2; modules=2
Drop Test,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,超声波扫描显微镜,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,热重分析仪,1.0,suggestion:auto,tags=2; modules=2
静电放电抗扰度,LCR meter,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,振动控制器,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,扫描电子显微镜,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,激光测振仪,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,能谱仪,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,X射线衍射仪,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,动态力学分析仪,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,功耗分析仪,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,绝缘耐压测试仪,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,电池测试系统,1.0,suggestion:auto,tags=2; modules=2
Drop Test,泄漏测试仪,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,射频微波暗室,1.0,suggestion:auto,tags=2; modules=2
功率循环测试,热阻测试仪,1.0,suggestion:auto,tags=2; modules=2
电快速瞬变脉冲群,高低温循环试验箱,1.0,suggestion:auto,tags=2; modules=2
电压跌落与中断,高低温循环试验箱,1.0,suggestion:auto,tags=2; modules=2
电压跌落与中断,恒温恒湿试验箱,1.0,suggestion:auto,tags=2; modules=2
时序分析,恒温恒湿试验箱,1.0,suggestion:auto,tags=2; modules=2
时序分析,矢量网络分析仪,1.0,suggestion:auto,tags=2; modules=2
时序分析,绝缘耐压测试仪,1.0,suggestion:auto,tags=2; modules=2
时序分析,电池测试系统,1.0,suggestion:auto,tags=2; modules=2
浪涌抗扰度,聚焦离子束,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,红外热成像仪,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,声学扫描显微镜,1.0,suggestion:auto,tags=2; modules=2
谐波电流发射,激光共聚焦显微镜,1.0,suggestion:auto,tags=2; modules=2
